source_key_ko,source_key_target,target_language,score,confidence,dist_m,title_ko,title_target,link_method
AttractionService:255:ko,AttractionService:255:en,en,100,high,0,흰여울문화마을,Huinnyeoul Culture Village at the end of the steep cliff,same_id
AttractionService:256:ko,AttractionService:256:en,en,100,high,0,깡깡이 예술마을,Kangkangee Arts Village where history lives on,same_id
AttractionService:257:ko,AttractionService:257:en,en,100,high,0,"국립해양박물관(한,영,중간,중번,일)","Korea National Maritime Museum, the Flower of Maritime Culture",same_id
AttractionService:258:ko,AttractionService:258:en,en,100,high,0,태종대,Taejongdae Park’s 100 years of history with Yeongdo Lighthouse,same_id
AttractionService:259:ko,AttractionService:259:en,en,100,high,0,죽성성당,The unique view of the Gijang Ocean at Jukseong Catholic Church,same_id
AttractionService:260:ko,AttractionService:260:en,en,100,high,0,"아홉산 숲 (한,영,중간,중번,일)",Meet the forest preserved for over 400 years in its natural state,same_id
AttractionService:261:ko,AttractionService:261:en,en,100,high,0,"해동용궁사 (한,영,중간,중번,일)",Haedong Yonggungsa Temple in Gijang,same_id
AttractionService:262:ko,AttractionService:262:en,en,100,high,0,임랑해수욕장,"Imnang Beach, The Beach that only I want to know",same_id
AttractionService:264:ko,AttractionService:264:en,en,100,high,0,"문화공감 수정, 초량1941(한,영,중간,중번,일)","Munhwa Gonggam Sujeong and Choryang 1941, where old stories remain",same_id
AttractionService:265:ko,AttractionService:265:en,en,100,high,0,"부산바다의 과거와 현재, 일광해수욕장","Ilgwang Beach, the past and present of the Busan Sea ",same_id
AttractionService:266:ko,AttractionService:266:en,en,100,high,0,"구 백제병원 (한,영,중간,중번,일)",Former Baekje Hospital,same_id
AttractionService:267:ko,AttractionService:267:en,en,100,high,0,백산기념관,Baeksan Memorial Hall,same_id
AttractionService:268:ko,AttractionService:268:en,en,100,high,0,"한성1918 부산생활문화센터(한,영,중간,중번,일)",Hansung 1918 Busan Lifestyle Culture Center,same_id
AttractionService:269:ko,AttractionService:269:en,en,100,high,0,"조선통신사역사관(한,영,중간,중번,일)",History Museum of Joseon Tongsinsa,same_id
AttractionService:270:ko,AttractionService:270:en,en,100,high,0,부산해양자연사박물관,Busan Marine Natural History Museum,same_id
AttractionService:272:ko,AttractionService:272:en,en,100,high,0,보수동책방골목,Bosu Book Street: Put a bookmark in your mind,same_id
AttractionService:273:ko,AttractionService:273:en,en,100,high,0,"임시수도기념관(한,영,중간,중번,일)","Meet the provisional capital, Busan",same_id
AttractionService:274:ko,AttractionService:274:en,en,100,high,0,"동아대석당박물관(한,영,중간,중번,일)",Seokdang Museum of Dong-A University embraces the historic values of Korea,same_id
AttractionService:275:ko,AttractionService:275:en,en,100,high,0,"국립일제강제동원역사관(한,영,중간,중번,일)",National Memorial Museum of Forced Mobilization under Japanese Occupation embraces the painful history,same_id
AttractionService:276:ko,AttractionService:276:en,en,100,high,0,부산박물관,History of Busan and the history of Korea,same_id
AttractionService:277:ko,AttractionService:277:en,en,100,high,0,"유엔기념공원, 유엔평화기념관(한,영,중간,중번,일)","UN Memorial Cemetery in Korea, the land remembered by people all around the world",same_id
AttractionService:278:ko,AttractionService:278:en,en,100,high,0,오륙도,Oryukdo Islets: Stories of the sea,same_id
AttractionService:279:ko,AttractionService:279:en,en,100,high,0,신선대,Sinseondae Terrace boasts the scenery that fascinated Taoist hermits,same_id
AttractionService:280:ko,AttractionService:280:en,en,100,high,0,"송정해수욕장, 죽도공원",Songjeong Beach: Preserving nature,same_id
