source_key_ko,source_key_target,target_language,score,dist_m,title_ko,title_target,status
FoodService:1065:ko,EngService2:2946941:en,en,50,25,삼진어묵 본점,AREA6 (AREA6),insufficient_evidence
FestivalService:1807:ko,EngService2:1079482:en,en,50,1,부산국제마케팅광고제(한),BEXCO (벡스코),insufficient_evidence
FestivalService:1961:ko,EngService2:3562082:en,en,50,28,2024 용두산 썸머 비치,Busan Jung-gu Pet Festival (부산중구반려동물축제),insufficient_evidence
KorService2:2760771:ko,EngService2:1970795:en,en,50,159,거대갈비,Haeundae Amso Galbijip ( 해운대암소갈비집),insufficient_evidence
KorService2:2841481:ko,EngService2:3521718:en,en,50,182,공극샌드커피,Osiria Coastal Walk (오시리아 해안산책로),insufficient_evidence
KorService2:128610:ko,EngService2:3400947:en,en,50,136,공수어촌체험마을,Gijang Jonggajip Gomjangeo (기장종가집곰장어),insufficient_evidence
KorService2:2805377:ko,EngService2:1941477:en,en,50,132,광명집,Peace Park (평화공원),insufficient_evidence
KorService2:126857:ko,EngService2:1055405:en,en,50,142,광복로패션거리,Gwangbok-dong Cultural & Fashion Street (광복로문화패션거리),insufficient_evidence
KorService2:1942576:ko,EngService2:2710546:en,en,50,145,국제시장을 기웃거리다,Hotel Forêt Premier Nampo (호텔포레 프리미어 남포),insufficient_evidence
KorService2:2869454:ko,EngService2:3098936:en,en,50,155,그라치에,Yeongdo Cheonghak Reservoir Observatory (영도 청학배수지 전망대),insufficient_evidence
KorService2:3421909:ko,EngService2:3035570:en,en,50,130,그런고로,Jeonpo Gonggu Street (전포공구길),insufficient_evidence
KorService2:2778487:ko,EngService2:1970795:en,en,50,185,금수복국 해운대본점,Haeundae Amso Galbijip ( 해운대암소갈비집),insufficient_evidence
KorService2:2789451:ko,EngService2:3364622:en,en,50,184,깃발집 국수전골,Busan Wooridul Spine Hospital (부산우리들병원),insufficient_evidence
KorService2:2783360:ko,EngService2:3516784:en,en,50,157,꽃피는 4월 밀익는 5월,B-Con Ground (비콘그라운드),insufficient_evidence
KorService2:1846830:ko,EngService2:349631:en,en,50,143,남도해양열차 에스트레인(S-train),Hotel Gwangjang (광장호텔),insufficient_evidence
KorService2:1942299:ko,EngService2:349631:en,en,50,181,남선창고터,Hotel Gwangjang (광장호텔),insufficient_evidence
KorService2:2872199:ko,EngService2:3468740:en,en,50,200,남파랑길(부산),Oryukdo Sunrise Park (오륙도해맞이공원),insufficient_evidence
KorService2:3470558:ko,EngService2:2947885:en,en,50,177,넘버25 호텔 기장 연화리점,Gijang Haenyeo Village (Yeonhwari Hoetchon Village) (기장해녀촌(연화리횟촌)),insufficient_evidence
KorService2:2785275:ko,EngService2:264198:en,en,50,156,다솥맛집,Songjeong Beach (송정해수욕장),insufficient_evidence
KorService2:1889060:ko,EngService2:2382544:en,en,50,22,다이나믹한 부산의 매력을 만나다,Jagalchi Market (부산 자갈치시장),insufficient_evidence
KorService2:1942233:ko,EngService2:1475231:en,en,50,150,대각사(부산),Busan Tower (부산타워),insufficient_evidence
KorService2:2699332:ko,EngService2:3562686:en,en,50,197,더웨이브,October Festa in Gwangalli (옥토버페스타 인 광안리),insufficient_evidence
KorService2:2852312:ko,EngService2:2953407:en,en,50,105,덕산명가 참소국밥,UN Sculpture Park (UN조각공원),insufficient_evidence
KorService2:2891745:ko,EngService2:3367727:en,en,50,191,듀스포레,Golden Navis (골든나비스),insufficient_evidence
KorService2:3335951:ko,EngService2:3562686:en,en,50,136,레이저태그스포츠 광안점,October Festa in Gwangalli (옥토버페스타 인 광안리),insufficient_evidence
KorService2:133839:ko,EngService2:3477557:en,en,50,167,롯데호텔부산 무궁화,Design Plastic Surgery Clinic (디자인성형외과의원),insufficient_evidence
