kto_canonical_key,busan_canonical_key,dist_m,sim,title_kto,title_busan,category_busan,ct_kto
KorService2:851832:ko,FoodService:1827:ko,100,0,신센,다이도코로 광안리본점,food,39
KorService2:1889060:ko,FoodService:107:ko,100,0,다이나믹한 부산의 매력을 만나다,김해식당,food,25
KorService2:3532722:ko,AttractionService:1185:ko,100,0,트래블라이트,"KT&G상상마당 부산(한,영,중간,중번,일)",attraction,32
KorService2:3532722:ko,FoodService:1616:ko,101,0,트래블라이트,송정3대국밥,food,32
KorService2:2385686:ko,AttractionService:260:ko,102,0.9,아홉산숲,"아홉산 숲 (한,영,중간,중번,일)",attraction,12
KorService2:2708019:ko,FoodService:950:ko,102,0.118,광안리 SUP Zone,광안리 언양불고기 부산집,food,28
KorService2:1942314:ko,FoodService:1475:ko,104,0,이바구공작소,명란브랜드연구소,food,14
KorService2:3336600:ko,FoodService:1638:ko,104,0,고래서이뻐,쥬가정효,food,38
KorService2:132576:ko,FoodService:107:ko,105,0,신동아 수산물시장,김해식당,food,38
KorService2:134718:ko,FoodService:235:ko,105,0,원조소문난산곰장어,내당,food,39
KorService2:1310148:ko,AttractionService:2753:ko,105,0,예이제 한정식,지그재그아트센터,attraction,39
KorService2:2470024:ko,FoodService:1437:ko,105,0,삼진어묵 체험·역사과학관,청해수산,food,12
KorService2:2708019:ko,FoodService:1498:ko,105,0,광안리 SUP Zone,동경밥상,food,28
KorService2:2708019:ko,FoodService:1544:ko,105,0,광안리 SUP Zone,언양불고기부산집,food,28
KorService2:2708019:ko,FoodService:1558:ko,105,0,광안리 SUP Zone,동경밥상,food,28
KorService2:2783308:ko,FoodService:959:ko,105,0,서프마린,홍옥당,food,28
KorService2:1013694:ko,FoodService:1237:ko,106,0,만물의거리,삼송초밥 부산남포본점,food,38
KorService2:2708019:ko,AttractionService:2191:ko,106,0,광안리 SUP Zone,"포디움다이브엠(한,영,중간,중번,일)",attraction,28
KorService2:2760771:ko,FoodService:1597:ko,106,0,거대갈비,차오란,food,39
KorService2:3336600:ko,FoodService:2341:ko,106,0,고래서이뻐,쥬가,food,38
KorService2:1013461:ko,FoodService:1618:ko,107,0,아이하시 (수제젓가락공예),신창국밥,food,38
KorService2:1303784:ko,FoodService:1497:ko,107,0,남천 해변시장,노는바다,food,38
KorService2:2708667:ko,FoodService:107:ko,107,0,호텔포레 프리미어 남포,김해식당,food,32
KorService2:2731553:ko,FoodService:1560:ko,107,0,펠릭스바이STX,쇼진,food,32
KorService2:2731553:ko,FoodService:1847:ko,107,0,펠릭스바이STX,쇼진,food,32
KorService2:132550:ko,FoodService:103:ko,108,0,부평동한복거리,거인통닭,food,38
KorService2:1277679:ko,FoodService:2347:ko,108,0,부산타워,동삼정,food,12
KorService2:1310148:ko,FoodService:1597:ko,108,0,예이제 한정식,차오란,food,39
KorService2:2696504:ko,FoodService:1544:ko,108,0,JSTAY,언양불고기부산집,food,32
KorService2:2869439:ko,FoodService:944:ko,108,0,신라농원,남촌,food,39
KorService2:3336600:ko,FoodService:1505:ko,108,0,고래서이뻐,타이가 텐푸라,food,38
KorService2:3559571:ko,FoodService:2347:ko,108,0,부산중구반려동물축제,동삼정,food,15
KorService2:132187:ko,FoodService:1612:ko,109,0,남포동 지하도상가,부산명물횟집,food,38
KorService2:142853:ko,FoodService:1586:ko,109,0,파라다이스 호텔 부산,남풍,food,32
KorService2:142853:ko,FoodService:1592:ko,109,0,파라다이스 호텔 부산,사까에,food,32
KorService2:1942316:ko,FoodService:1065:ko,109,0,영도봉래시장,삼진어묵 본점,food,38
KorService2:1957694:ko,FoodService:107:ko,109,0,용두산 자갈치 관광특구,김해식당,food,12
KorService2:2381567:ko,FoodService:1578:ko,109,0,문탠로드,규우정,food,28
KorService2:2848952:ko,FoodService:1448:ko,109,0,일광정,칠암사계,food,39
KorService2:3016434:ko,FoodService:1490:ko,109,0,블루스토리 호텔,음주양식당 오스테리아 어부,food,32
KorService2:132187:ko,FoodService:112:ko,110,0,남포동 지하도상가,부산명물횟집,food,38
KorService2:132190:ko,FoodService:107:ko,110,0,부산 자갈치시장,김해식당,food,38
KorService2:1945293:ko,AttractionService:2102:ko,110,0,장기려기념 더 나눔센터,"망양로 산복도로 전시관(한,영,중간,중번,일)",attraction,14
KorService2:2696504:ko,FoodService:950:ko,110,0,JSTAY,광안리 언양불고기 부산집,food,32
KorService2:2760771:ko,FoodService:166:ko,110,0,거대갈비,예이제,food,39
KorService2:3532722:ko,FoodService:1817:ko,110,0,트래블라이트,기장손칼국수,food,32
KorService2:1162526:ko,FoodService:1110:ko,111,0.083,토요코인호텔 부산서면,버거샵 서면,food,32
KorService2:2596750:ko,FoodService:1487:ko,111,0,더 비에스 호텔,산동완탕교자관,food,32
KorService2:2596750:ko,FoodService:1557:ko,111,0,더 비에스 호텔,산동완탕교자관,food,32
KorService2:2610815:ko,FoodService:1477:ko,111,0,그림하우스,어밤부,food,32
KorService2:2622984:ko,FoodService:1484:ko,111,0,캔버스,쉐프리,food,32
KorService2:2622984:ko,FoodService:1568:ko,111,0,캔버스,쉐프리,food,32
KorService2:2860851:ko,FoodService:1490:ko,111,0,싱싱뽈락회 해운대본점,음주양식당 오스테리아 어부,food,39
KorService2:2867167:ko,FoodService:1138:ko,111,0,양산국밥,개미집신도시점,food,39
KorService2:2860851:ko,FoodService:1569:ko,112,0,싱싱뽈락회 해운대본점,음주양식당오스테리아어부,food,39
KorService2:2875837:ko,FoodService:2328:ko,112,0,달맞이동산,달타이,food,12
KorService2:2994179:ko,FoodService:1110:ko,112,0,전포공구길,버거샵 서면,food,12
KorService2:3016434:ko,FoodService:1569:ko,112,0,블루스토리 호텔,음주양식당오스테리아어부,food,32
KorService2:126108:ko,FoodService:146:ko,113,0.167,해운대온천센터,금수복국 해운대본점,food,12
KorService2:132187:ko,FoodService:1137:ko,113,0,남포동 지하도상가,원산면옥,food,38
KorService2:851832:ko,FoodService:950:ko,113,0,신센,광안리 언양불고기 부산집,food,39
KorService2:1805095:ko,FoodService:887:ko,113,0,할매팥빙수단팥죽,다이닝센 부산본점,food,39
KorService2:2509838:ko,FoodService:1527:ko,113,0,지엔비호텔(GNB호텔),이가네떡볶이,food,32
KorService2:2705418:ko,FoodService:201:ko,113,0,해운대 영무파라드호텔,평안도족발,food,32
KorService2:2860839:ko,FoodService:2328:ko,113,0,스노잉클라우드,달타이,food,39
KorService2:2867734:ko,FoodService:184:ko,113,0,한우뭉치,원조18번완당,food,39
KorService2:2872395:ko,AttractionService:260:ko,113,0,미동암소정,"아홉산 숲 (한,영,중간,중번,일)",attraction,39
KorService2:126108:ko,FoodService:1604:ko,114,0,해운대온천센터,금수복국,food,12
KorService2:1013721:ko,FoodService:1613:ko,114,0,조명의거리,비엔씨,food,38
KorService2:1942233:ko,FoodService:124:ko,114,0,대각사(부산),이재모피자 본점,food,12
KorService2:1942233:ko,FoodService:1486:ko,114,0,대각사(부산),스톤스트리트,food,12
KorService2:1942233:ko,FoodService:1570:ko,114,0,대각사(부산),이재모피자,food,12
KorService2:2705418:ko,FoodService:1846:ko,114,0,해운대 영무파라드호텔,소공간,food,32
KorService2:2811461:ko,FoodService:1490:ko,114,0,베이몬드호텔,음주양식당 오스테리아 어부,food,32
KorService2:2811461:ko,FoodService:1569:ko,114,0,베이몬드호텔,음주양식당오스테리아어부,food,32
KorService2:2860839:ko,FoodService:1573:ko,114,0,스노잉클라우드,달타이,food,39
KorService2:2869113:ko,FoodService:1607:ko,114,0.091,배종관동래삼계탕,동래할매파전,food,39
KorService2:2875837:ko,FoodService:1573:ko,114,0,달맞이동산,달타이,food,12
KorService2:2904908:ko,FoodService:152:ko,114,0,거대곰탕,다온 한정식,food,39
KorService2:3421909:ko,FoodService:1273:ko,114,0,그런고로,동백아가씨1961 서면점,food,12
KorService2:126814:ko,AttractionService:301:ko,115,0,25의용단,수영사적공원,attraction,12
KorService2:132187:ko,FoodService:102:ko,115,0,남포동 지하도상가,할매가야밀면,food,38
KorService2:851073:ko,FoodService:1244:ko,115,0,장성향,고민끝에여기,food,39
KorService2:1942314:ko,AttractionService:2594:ko,115,0.25,이바구공작소,초량 이바구길,attraction,14
KorService2:2736088:ko,FoodService:1846:ko,115,0,시그니엘 부산,소공간,food,32
KorService2:2775565:ko,FoodService:1456:ko,115,0,학리항(학리방파제),일미아구찜,food,12
KorService2:133313:ko,FoodService:107:ko,116,0,부산명물횟집,김해식당,food,39
KorService2:2617724:ko,FoodService:1559:ko,116,0,마린시티,모즈,food,12
KorService2:2617724:ko,FoodService:1562:ko,116,0,마린시티,스시이루카,food,12
KorService2:2617724:ko,FoodService:1628:ko,116,0,마린시티,머그디저트랩,food,12
KorService2:2708019:ko,FoodService:959:ko,116,0,광안리 SUP Zone,홍옥당,food,28
KorService2:2869113:ko,FoodService:1520:ko,116,0.091,배종관동래삼계탕,동래할매파전,food,39
KorService2:2869896:ko,FoodService:1576:ko,116,0,엣지993,거북선횟집,food,39
KorService2:688610:ko,FoodService:1479:ko,117,0,아미산,우봉,food,39
KorService2:851832:ko,FoodService:1544:ko,117,0,신센,언양불고기부산집,food,39
KorService2:1013709:ko,FoodService:1451:ko,117,0,아리랑거리,원조 바다집,food,38
KorService2:2613988:ko,FoodService:201:ko,117,0,팝콘 호스텔 해운대점,평안도족발,food,32
KorService2:2613988:ko,FoodService:1626:ko,117,0.125,팝콘 호스텔 해운대점,해운대소문난암소갈비집,food,32
KorService2:2836450:ko,FoodService:1618:ko,117,0,이재모피자 본점,신창국밥,food,39
KorService2:2891814:ko,FoodService:1569:ko,117,0,류센소 본점,음주양식당오스테리아어부,food,39
KorService2:309338:ko,FoodService:1814:ko,118,0,법륜사(부산),신가네 호떡 김밥 떡볶이,food,12
KorService2:1013709:ko,FoodService:1237:ko,118,0,아리랑거리,삼송초밥 부산남포본점,food,38
KorService2:1310148:ko,FoodService:201:ko,118,0,예이제 한정식,평안도족발,food,39
KorService2:2613988:ko,FoodService:2370:ko,118,0.154,팝콘 호스텔 해운대점,해운대암소갈비집,food,32
KorService2:2622969:ko,FoodService:1244:ko,118,0,싱글싱글,고민끝에여기,food,32
KorService2:2818714:ko,FoodService:1633:ko,118,0,남천녹차팥빙수,옵스,food,39
KorService2:2868940:ko,FoodService:1834:ko,118,0,요이쿠마 본점,아웃트로 바이 비토,food,39
KorService2:2869158:ko,FoodService:1255:ko,118,0,감포참가자미,동촌황정순수육전골,food,39
KorService2:2891814:ko,FoodService:1490:ko,118,0,류센소 본점,음주양식당 오스테리아 어부,food,39
KorService2:126857:ko,FoodService:1531:ko,119,0,광복로패션거리,할매집회국수,food,12
KorService2:132187:ko,FoodService:1531:ko,119,0,남포동 지하도상가,할매집회국수,food,38
KorService2:2861291:ko,FoodService:1588:ko,119,0,사마정,르도헤,food,39
KorService2:2861291:ko,FoodService:1843:ko,119,0,사마정,르도헤,food,39
KorService2:3335951:ko,FoodService:1580:ko,119,0,레이저태그스포츠 광안점,뉼리,food,28
KorService2:3335951:ko,FoodService:1826:ko,119,0.071,레이저태그스포츠 광안점,뉼리 광안리점,food,28
KorService2:3533147:ko,FoodService:2350:ko,119,0,청킹멘션부산,지즈,food,32
KorService2:3576410:ko,FoodService:1531:ko,119,0,광복로 겨울빛 트리축제,할매집회국수,food,15
KorService2:130642:ko,FoodService:2344:ko,120,0,조현화랑,팔레트,food,14
KorService2:135827:ko,FoodService:1484:ko,120,0,동백섬횟집,쉐프리,food,39
KorService2:135827:ko,FoodService:1568:ko,120,0,동백섬횟집,쉐프리,food,39
KorService2:1846830:ko,AttractionService:2138:ko,120,0,남도해양열차 에스트레인(S-train),"부산 워케이션 거점센터(한,영,중간,중번,일)",attraction,12
KorService2:1942348:ko,FoodService:2347:ko,120,0,관수옥과 초량왜관 터,동삼정,food,12
KorService2:2704645:ko,FoodService:2339:ko,120,0,[해파랑길] 2코스,수블,food,28
KorService2:1942298:ko,FoodService:1136:ko,121,0,남항시장,함흥보쌈사계절냉면,food,38
KorService2:2760771:ko,AttractionService:2753:ko,121,0,거대갈비,지그재그아트센터,attraction,39
KorService2:2822343:ko,AttractionService:348:ko,121,0.056,해운대 그린레일웨이 (미포~송정 구간),청사포와 미포,attraction,12
KorService2:142853:ko,FoodService:1481:ko,122,0,파라다이스 호텔 부산,버거인뉴욕,food,32
KorService2:2622969:ko,AttractionService:1900:ko,122,0,싱글싱글,"부산 트래블라운지 (한, 영, 중간, 중번, 일)",attraction,32
KorService2:3083767:ko,FoodService:1486:ko,122,0,부산근현대역사관 본관,스톤스트리트,food,14
KorService2:127925:ko,FoodService:2361:ko,123,0,광안리해변 테마거리,야키토리 백탄,food,12
KorService2:2789488:ko,FoodService:1551:ko,123,0,미포정거장,아저씨대구탕,food,28
KorService2:2875744:ko,FoodService:1569:ko,123,0,영남돼지,음주양식당오스테리아어부,food,39
KorService2:3027700:ko,FoodService:1551:ko,123,0,청사포 기찻길,아저씨대구탕,food,12
KorService2:133525:ko,FoodService:1537:ko,124,0,18번완당집,돌솥밥집,food,39
KorService2:2778503:ko,FoodService:1501:ko,124,0,서울깍두기,스시심 타카이,food,39
KorService2:2832671:ko,AttractionService:1900:ko,124,0,신발원,"부산 트래블라운지 (한, 영, 중간, 중번, 일)",attraction,39
KorService2:3444416:ko,FoodService:893:ko,124,0,나막집,해남식당 부산용호동W스퀘어점,food,39
KorService2:1162526:ko,FoodService:1482:ko,125,0.071,토요코인호텔 부산서면,반핀 서면전포점,food,32
KorService2:2512488:ko,FoodService:1484:ko,125,0,오막집,쉐프리,food,39
KorService2:2512488:ko,FoodService:1568:ko,125,0,오막집,쉐프리,food,39
KorService2:2870780:ko,FoodService:1256:ko,125,0,클레이디뷔페 돌잔치,소우닭계,food,39
KorService2:2875744:ko,FoodService:1490:ko,125,0,영남돼지,음주양식당 오스테리아 어부,food,39
KorService2:2905141:ko,FoodService:2370:ko,125,0,할매집,해운대암소갈비집,food,39
KorService2:851832:ko,AttractionService:2191:ko,126,0,신센,"포디움다이브엠(한,영,중간,중번,일)",attraction,39
KorService2:2773623:ko,FoodService:1482:ko,126,0,야스마루,반핀 서면전포점,food,39
KorService2:2788406:ko,FoodService:2362:ko,126,0,자매국밥,야키토리 해공,food,39
KorService2:2860833:ko,FoodService:1587:ko,126,0,송정물총칼국수,랩24바이쿠무다,food,39
KorService2:2860833:ko,FoodService:1842:ko,126,0,송정물총칼국수,랩24 바이 쿠무다,food,39
KorService2:2905141:ko,FoodService:1626:ko,126,0,할매집,해운대소문난암소갈비집,food,39
KorService2:3511071:ko,FoodService:2364:ko,126,0,주식회사피알아이피,으뜸이로리바타,food,12
KorService2:132574:ko,FoodService:118:ko,128,0,광복 지하도상가,부산꼼장어맛집 성일집,food,38
KorService2:252562:ko,FoodService:1488:ko,128,0.091,부산대교,삼형제오리 부산1호점,food,12
KorService2:985921:ko,FoodService:1537:ko,128,0,미술의거리,돌솥밥집,food,12
KorService2:2606221:ko,FoodService:920:ko,128,0,영도 흰여울해안터널,에테르,food,12
KorService2:2783308:ko,FoodService:1226:ko,128,0,서프마린,난파센,food,28
KorService2:2788406:ko,FoodService:1563:ko,128,0,자매국밥,야키토리해공,food,39
KorService2:2861291:ko,FoodService:1584:ko,128,0,사마정,이레옥,food,39
KorService2:128290:ko,AttractionService:2551:ko,129,0.9,황령산,황령산봉수전망대,attraction,12
KorService2:2733472:ko,AttractionService:2551:ko,129,0.5,황령산 전망대,황령산봉수전망대,attraction,12
KorService2:2773623:ko,FoodService:1110:ko,129,0,야스마루,버거샵 서면,food,39
KorService2:2838907:ko,FoodService:1536:ko,129,0,고관함박,88돼지갈비,food,39
KorService2:2868940:ko,FoodService:1545:ko,129,0,요이쿠마 본점,은해갈치,food,39
KorService2:2869896:ko,FoodService:2337:ko,129,0,엣지993,선창횟집,food,39
KorService2:2875783:ko,FoodService:2334:ko,129,0,이레옥,못난이식당 해운대점,food,39
KorService2:128055:ko,FoodService:1092:ko,130,0,평화공원,광명집,food,12
KorService2:2572851:ko,FoodService:1262:ko,130,0,모닝듀 게스트 하우스(모닝듀),홍성방 본점,food,32
KorService2:2822334:ko,FoodService:1815:ko,130,0,동래온천길(온천천 카페거리),칙투칙,food,12
KorService2:2822343:ko,FoodService:2384:ko,130,0,해운대 그린레일웨이 (미포~송정 구간),우봉샤브,food,12
KorService2:2865236:ko,FoodService:1480:ko,130,0,희와제과,굿모닝홍콩,food,39
KorService2:2925797:ko,FoodService:1549:ko,130,0,엘시티 레지던스,거대숯불구이,food,32
KorService2:3442423:ko,AttractionService:315:ko,130,0.067,부산기후변화체험교육관,부산어촌민속관,attraction,12
KorService2:133525:ko,FoodService:1613:ko,131,0,18번완당집,비엔씨,food,39
KorService2:2822343:ko,FoodService:1849:ko,131,0,해운대 그린레일웨이 (미포~송정 구간),우봉 샤브 청사포점,food,12
KorService2:2859073:ko,AttractionService:2095:ko,131,0.125,구덕포끝집고기,"송정 구덕포길(한,영,중간,중번,일)",attraction,39
KorService2:1942576:ko,FoodService:1231:ko,132,0,국제시장을 기웃거리다,어가초밥,food,25
KorService2:2811461:ko,FoodService:1552:ko,132,0,베이몬드호텔,영남돼지,food,32
KorService2:2868824:ko,FoodService:1574:ko,132,0,비스포레,알로이타이레스토랑,food,39
KorService2:3469447:ko,FoodService:1453:ko,132,0,덴바스타호텔 동래점,소문난원조조방낙지본점,food,32
KorService2:229912:ko,AttractionService:373:ko,133,0,씨라이프부산아쿠아리움,해운대,attraction,12
KorService2:2656194:ko,AttractionService:1868:ko,133,0.476,친환경 스카이웨이 전망대(이바구길),"친환경스카이웨이전망대(한,영,중간,중번,일)",attraction,12
KorService2:2844687:ko,FoodService:1805:ko,133,0,장군멸치회촌,대성칼치찌개구이,food,39
KorService2:2845123:ko,FoodService:1804:ko,133,0,본가딸부자전복죽집,고향연화,food,39
KorService2:2853156:ko,AttractionService:1031:ko,133,0,해물왕창칼국수,"부산도서관(한,영,중간,중번,일)",attraction,39
KorService2:2861958:ko,FoodService:1825:ko,133,0,부센동,골목포차,food,39
KorService2:2925797:ko,FoodService:141:ko,133,0,엘시티 레지던스,거대갈비,food,32
KorService2:1277679:ko,AttractionService:367:ko,134,0.067,부산타워,부산영화체험박물관/씨네뮤지엄,attraction,12
KorService2:2816102:ko,FoodService:1580:ko,134,0,그레이193호텔,뉼리,food,32
KorService2:2816102:ko,FoodService:1826:ko,134,0,그레이193호텔,뉼리 광안리점,food,32
