source_key,source_language,source_service,category,title,unmatched_reason
EngService2:1970795:en,en,EngService2,,Haeundae Amso Galbijip ( 해운대암소갈비집),insufficient_evidence_only
EngService2:3521718:en,en,EngService2,,Osiria Coastal Walk (오시리아 해안산책로),insufficient_evidence_only
EngService2:3098936:en,en,EngService2,,Yeongdo Cheonghak Reservoir Observatory (영도 청학배수지 전망대),insufficient_evidence_only
EngService2:3364622:en,en,EngService2,,Busan Wooridul Spine Hospital (부산우리들병원),insufficient_evidence_only
EngService2:3516784:en,en,EngService2,,B-Con Ground (비콘그라운드),insufficient_evidence_only
EngService2:3468740:en,en,EngService2,,Oryukdo Sunrise Park (오륙도해맞이공원),insufficient_evidence_only
EngService2:264198:en,en,EngService2,,Songjeong Beach (송정해수욕장),insufficient_evidence_only
EngService2:3367727:en,en,EngService2,,Golden Navis (골든나비스),insufficient_evidence_only
EngService2:3477557:en,en,EngService2,,Design Plastic Surgery Clinic (디자인성형외과의원),insufficient_evidence_only
EngService2:3517139:en,en,EngService2,,Mangmidangil Street  (망미단길),insufficient_evidence_only
EngService2:2492127:en,en,EngService2,,Daejeo Eco Park (대저생태공원),insufficient_evidence_only
FestivalService:1699:en,en,FestivalService,festival,Busan International Comedy Festival,insufficient_evidence_only
EngService2:3450964:en,en,EngService2,,Sojunghannun Ophthalmology Clinic (센텀소중한눈안과),insufficient_evidence_only
EngService2:2401023:en,en,EngService2,,168 Stairs (168계단),insufficient_evidence_only
EngService2:2990076:en,en,EngService2,,Haeundae Green Railway (Mipo-Songjeong) (해운대 그린레일웨이 (미포~송정 구간)),insufficient_evidence_only
EngService2:3451721:en,en,EngService2,,Goodwill Dental Hospital (굿윌치과병원),insufficient_evidence_only
EngService2:3539851:en,en,EngService2,,Olive Skin Clinic (올리브피부과의원),insufficient_evidence_only
EngService2:1973370:en,en,EngService2,,Bosu-dong Book Street Cultural Center(보수동 책방골목 문화관),insufficient_evidence_only
EngService2:3403110:en,en,EngService2,,Millac The Market (밀락더마켓),insufficient_evidence_only
EngService2:2021670:en,en,EngService2,,Seomyeon Underground Shopping Center (서면지하도상가),insufficient_evidence_only
EngService2:3002802:en,en,EngService2,,Haneul Observatory (영도 하늘전망대),insufficient_evidence_only
EngService2:2503883:en,en,EngService2,,Samjin Fish Cake History Museum · History Hall (삼진어묵체험·역사관),insufficient_evidence_only
EngService2:2695544:en,en,EngService2,,Jeongeul Damda (정을담다),insufficient_evidence_only
EngService2:1348758:en,en,EngService2,,Geumgang Park (금강공원),insufficient_evidence_only
EngService2:3074034:en,en,EngService2,,Hyeongje Jeontong Dwaeji Gukbap (형제전통돼지국밥),insufficient_evidence_only
EngService2:2946907:en,en,EngService2,,Museum 1 (뮤지엄 원),insufficient_evidence_only
EngService2:3466939:en,en,EngService2,,Busan St Mary's Hospital (부산성모병원),insufficient_evidence_only
EngService2:2589248:en,en,EngService2,,Cheongsapo Port (청사포),insufficient_evidence_only
EngService2:2596967:en,en,EngService2,,Centum Primus Hotel (센텀프리머스 호텔),insufficient_evidence_only
EngService2:1752895:en,en,EngService2,,Suyeong Sajeok Park (수영사적공원),insufficient_evidence_only
EngService2:264250:en,en,EngService2,,Gwangalli Beach (광안리해수욕장),insufficient_evidence_only
FoodService:2262:ja,ja,FoodService,food,海木,insufficient_evidence_only
AttractionService:783:ja,ja,AttractionService,attraction,海雲台の良さを再発見,insufficient_evidence_only
FoodService:2262:zhs,zhs,FoodService,food,海木,insufficient_evidence_only
FestivalService:1699:zht,zht,FestivalService,festival,釜山國際喜劇節,insufficient_evidence_only
FoodService:2262:zht,zht,FoodService,food,海木,insufficient_evidence_only
AttractionService:788:zht,zht,AttractionService,attraction,海雲臺旅遊攻略,insufficient_evidence_only
AttractionService:771:ja,ja,AttractionService,attraction,青沙浦猫の村,unclaimed
AttractionService:771:zht,zht,AttractionService,attraction,青沙浦貓村,unclaimed
FoodService:2261:ja,ja,FoodService,food,ディムタオ,unclaimed
FoodService:2261:zhs,zhs,FoodService,food,点淘,unclaimed
FoodService:2261:zht,zht,FoodService,food,點淘,unclaimed
EngService2:1000428:en,en,EngService2,,40-step Culture & Tourism Theme Street (40계단 문화관광테마거리),unclaimed
EngService2:2710588:en,en,EngService2,,Almond Hotel (아몬드호텔),unclaimed
EngService2:2947925:en,en,EngService2,,Amisan Observatory (아미산 전망대),unclaimed
EngService2:264385:en,en,EngService2,,Amnam Park (부산 암남공원),unclaimed
EngService2:335473:en,en,EngService2,,Amnam-Park (암남공원),unclaimed
EngService2:3366754:en,en,EngService2,,BGN Eye Hospital (밝은눈안과병원),unclaimed
EngService2:3539987:en,en,EngService2,,Barog Clinic (Deokcheon) (바로그의원 (덕천)),unclaimed
EngService2:2542365:en,en,EngService2,,Bcent Hotel (비센트호텔),unclaimed
EngService2:3365841:en,en,EngService2,,Busan Adventist Hospital (삼육부산병원),unclaimed
EngService2:3047063:en,en,EngService2,,Busan Cine Road (부산 영화의 거리),unclaimed
EngService2:3366511:en,en,EngService2,,DIRAMS Korea Cancer Center Hospital(KCCH) (동남권원자력의학원 원자력병원),unclaimed
EngService2:3486532:en,en,EngService2,,DOMOHEON (도모헌),unclaimed
EngService2:3580187:en,en,EngService2,,Dong-A University Hospital (동아대학교병원),unclaimed
EngService2:3078939:en,en,EngService2,,F1963,unclaimed
EngService2:3366551:en,en,EngService2,,Funtour Inc. (주식회사 재미난투어),unclaimed
EngService2:3364801:en,en,EngService2,,Galaxy Plastic Surgery (갤럭시성형외과),unclaimed
EngService2:3098884:en,en,EngService2,,Gamman Creative Community Space (감만창의문화촌),unclaimed
EngService2:264108:en,en,EngService2,,Geumjeongsanseong Fortress (금정산성),unclaimed
EngService2:3548871:en,en,EngService2,,Gowoonsesang Kim Yang-Che & Jang Bong-Seok Skin Clinic (고운세상 김양제장봉석피부과의원),unclaimed
EngService2:1000044:en,en,EngService2,,Gukje Market Art Street (미술의 거리),unclaimed
EngService2:264404:en,en,EngService2,,Haedong Yonggungsa Temple (해동 용궁사(부산)),unclaimed
EngService2:2946924:en,en,EngService2,,Haeparang Trail Course 1 (해파랑길 1코스),unclaimed
EngService2:3486394:en,en,EngService2,,Hocheon Village (호천마을),unclaimed
EngService2:2835497:en,en,EngService2,,Huinnyeoul Culture Village (흰여울문화마을),unclaimed
EngService2:3441540:en,en,EngService2,,Human Care Service ((주)휴먼케어서비스),unclaimed
EngService2:1981827:en,en,EngService2,,Igidae Cliff [National Geopark] (이기대 (부산 국가지질공원)),unclaimed
EngService2:3547906:en,en,EngService2,,Inje University Haeundae Paik Hospital (인제대학교 해운대백병원),unclaimed
EngService2:2947923:en,en,EngService2,,Jangnim Port (장림포구),unclaimed
EngService2:2947862:en,en,EngService2,,Jukseong Church (Filming Set) (죽성성당(드림세트장)),unclaimed
EngService2:3365275:en,en,EngService2,,Kang Dong Hospital (강동병원),unclaimed
EngService2:3364075:en,en,EngService2,,Kosin University Gospel Hospital (고신대학교복음병원),unclaimed
EngService2:3045680:en,en,EngService2,,Marine Adventure Park (마린어드벤처파크),unclaimed
EngService2:3547521:en,en,EngService2,,MediCaddy Korea (메디캐디코리아),unclaimed
EngService2:3547509:en,en,EngService2,,Medid (메디드),unclaimed
