source_key,source_id,source_language,title,official_url,official_url_domain,official_url_fallback_language,official_check_required,schedule_change_detected,possible_stale_event,date_review_required,affiliate_url,affiliate_provider,event_period_raw,venue
FestivalService:71:ko,71,ko,"부산바다축제(한,영, 중간,중번,일)",http://www.bfo.or.kr/festival_sea/info/01.asp?MENUDIV=1,www.bfo.or.kr,,true,false,true,true,,,2025. 8. 1. ~ 8. 3.,다대포 해수욕장 일원
FestivalService:253:ko,253,ko,"수국축제(한,영,중간,중번,일)",,,,true,false,true,true,,,2025. 7. 5.(토) ~ 7. 13.(일),"태종대, 태종사"
FestivalService:329:ko,329,ko,"센텀맥주축제(한,영,중간,중번,일)",http://www.beerfestival.co.kr,www.beerfestival.co.kr,,true,false,false,false,,,2026. 05. 22. ~ 05. 31.,센텀맥주축제
FestivalService:330:ko,330,ko,"금정산성축제(한,영,중간,중번,일)",http://www.gjfac.org/gjfac/main.php,www.gjfac.org,,true,false,false,false,,,2026. 10. 16. ~ 10. 18.,금정산성축제
FestivalService:331:ko,331,ko,"낙동강구포나루축제(한,영,중간,중번,일)",https://www.bsbukgu.go.kr/tour/index.bsbukgu?menuCd=DOM_000000402006001000,www.bsbukgu.go.kr,,true,false,true,true,,,2025. 9. 26.(금) ~ 2025. 9. 28.(일),낙동강구포나루축제
FestivalService:395:ko,395,ko,"부산불꽃축제(한, 영, 중간, 중번, 일)",https://www.bfo.or.kr/festival/info/01.asp?MENUDIV=1,www.bfo.or.kr,,true,false,true,true,,,2025.11.15.(토)매년 11월,부산불꽃축제
FestivalService:403:ko,403,ko,"삼광사 연등축제(한,영,중간,중번,일)",http://www.samkwangsa.or.kr/,www.samkwangsa.or.kr,,true,false,false,false,,,2026. 5. 15. ~  5. 24. 점등시간 매일 저녁 7시~새벽 1시,삼광사 연등축제
FestivalService:405:ko,405,ko,"해운대모래축제(한,영,중간,중번,일)",https://www.instagram.com/haeundae_sandfestival/,www.instagram.com,,true,false,true,true,,,2025.5.16.(금) ~ 5.19.(월) 모래조각전 6.8.(일)까지 전시,해운대모래축제
FestivalService:406:ko,406,ko,"부산항축제(한,영,중간,중번,일)",https://festivalbusan.com/busanport/,festivalbusan.com,,true,false,false,false,,,2026. 6. 19.(금) ~ 6. 20.(토),
FestivalService:407:ko,407,ko,"동래읍성 역사축제(한, 영, 중간, 중번, 일)",https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169,www.dongnae.go.kr,,true,false,true,true,,,2025.10.24. (금) ~ 2025.10.26. (일),동래읍성 역사축제
FestivalService:411:ko,411,ko,"부산자갈치축제(한,영,중간,중번,일)",,,,true,false,true,true,,,2025. 10. 23. ~ 10. 06.,부산자갈치축제
FestivalService:414:ko,414,ko,"차이나타운특구 문화축제(한,영,중간,중번,일)",https://부산차이나축제.com,xn--910bt8v7nc70jbyas1pcvc.com,,true,false,true,true,,,2025. 10. 17 ~ 10. 19.,부산차이나타운특구 문화축제
FestivalService:427:ko,427,ko,"부산바다미술제(한,영,중간,중번,일)",https://www.saf2023.org/,www.saf2023.org,,true,false,true,true,,,2025. 9. 27.(토) ~ 2025. 11. 2.(일),일광해수욕장
FestivalService:440:ko,440,ko,"해운대 빛축제(한,영,중간,중번,일)",https://www.haeundae.go.kr/index.do?menuCd=DOM_000000309006001000,www.haeundae.go.kr,,true,false,false,false,,,2025년 11월 29일 ~ 2026년 1월 18일 점등시간 : 18:00~23:00,"해운대해수욕장, 해운대광장(구남로), 해운대시장, 온천길 일원"
FestivalService:441:ko,441,ko,"기장미역다시마축제(한, 영, 중간, 중번, 일)",http://www.gijang.go.kr/tour/index.gijang,www.gijang.go.kr,,true,false,false,false,,,2026.04.17.~04.19.,기장미역다시마축제
FestivalService:442:ko,442,ko,"광안리어방축제(한,영,중간,중번,일)",http://www.suyeong.go.kr/eobang,www.suyeong.go.kr,,true,false,false,false,,,2026. 06. 12. ~ 06. 14.,광안리해변 및 수영사적공원 일원
FestivalService:443:ko,443,ko,"기장멸치축제(한, 영, 중간, 중번, 일)",https://www.gijang.go.kr/index.gijang?menuCd=DOM_000000302000000000,www.gijang.go.kr,,true,false,false,false,,,2026. 04. 24. ~ 04. 26.,기장멸치축제
FestivalService:449:ko,449,ko,"광복로 겨울빛 트리축제(한,영,중간,중번,일)",,,,true,false,false,false,,,2025.12.05(금) ~ 2026.02.22(일),
FestivalService:470:ko,470,ko,"부산국제록페스티벌(한,영, 중간,중번,일)",https://busanrockfestival.com/,busanrockfestival.com,,true,false,true,true,,,2025. 9. 26.(금) ~ 2025. 9. 28.(일),부산국제록페스티벌
FestivalService:497:ko,497,ko,"대저토마토축제(한, 영, 중간, 중번, 일)",https://www.bsgangseo.go.kr/visit/contents.do?mId=0305000000,www.bsgangseo.go.kr,,true,false,false,false,,,2026. 3. 21. ~ 3. 22.,강서체육공원
FestivalService:499:ko,499,ko,"낙동강 정원 벚꽃축제(한,영,중간,중번,일)",https://www.sasang.go.kr/index.sasang?menuCd=DOM_000000604002000000,www.sasang.go.kr,,true,false,false,false,,,2026. 03. 27. ~ 04. 12.,낙동강 정원 벚꽃축제
FestivalService:500:ko,500,ko,"사상강변축제(한,영,중간,중번,일)",https://xn--939a392a91cocr48bfii.com/,xn--939a392a91cocr48bfii.com,,true,false,true,true,,,2025년 9월 20일(토) ~ 9월 21일(일),삼락생태공원 문화마당
FestivalService:502:ko,502,ko,"해운대달맞이온천축제(한,영,중간,중번,일)",,,,true,false,true,true,,,2025.2.12매년 정월대보름,해운대달맞이온천축제
