candidate_id,image_url,image_source_domain,image_source_type,source_page_url,license_evidence_url,license_checked_at,copyright_holder,license_type,license_verification,commercial_use,modification_use,attribution_required,required_attribution_text,operational_image_decision,evidence_level,decision_reason
busan-A-00001,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222164810529_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00002,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222171209005_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00003,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222175627506_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00004,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222180829962_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00005,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222181829937_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00006,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222185645736_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00007,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222190823385_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00008,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224093809621_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00009,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224171115847_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00010,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225143353231_ttiel,www.visitbusan.net,editorial_tourism,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=265&lang_cd=ko,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00011,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225145805369_ttiel,www.visitbusan.net,editorial_tourism,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=266&lang_cd=ko,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00012,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150331107_ttiel,www.visitbusan.net,editorial_tourism,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=267&lang_cd=ko,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00013,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150936833_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00014,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151358656_ttiel,www.visitbusan.net,editorial_tourism,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=269&lang_cd=ko,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00015,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151830289_ttiel,www.visitbusan.net,editorial_tourism,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=270&lang_cd=ko,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00016,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225154726785_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00017,https://www.visitbusan.net/uploadImgs/files/cntnts/20250929174908393_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00018,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225160959194_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00019,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225162953256_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00020,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225163741459_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00021,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225164342360_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00022,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225164921130_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00023,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225165635368_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00024,https://www.visitbusan.net/uploadImgs/files/cntnts/20230630185239164_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00025,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225170855698_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00026,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225174730014_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00027,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225175459392_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00028,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225180243523_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
