candidate_id,canonical_id,candidate_status,title_ko,category,subcategory,content_type,latitude,longitude,coordinate_distance_m,hours,address,phone,external_official_url,source_detail_url,image_url,visitbusan_uc_seq,linked_source_keys,field_provenance,category_compatibility_method,review_reason,merge_target_id
busan-A-00001,busan-A-00001,api_only_existing,흰여울문화마을,attraction,unknown,,35.07885,129.04402,,,부산광역시 영도구 흰여울길,,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222164810529_ttiel,,AttractionService:255:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,,
busan-A-00002,busan-A-00002,api_only_existing,깡깡이 예술마을,attraction,unknown,,35.092648,129.03255,,,부산광역시 영도구 대평북로 36 깡깡이 안내센터,,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222171209005_ttiel,,AttractionService:256:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,,
busan-A-00003,busan-A-00003,api_only_existing,"국립해양박물관(한,영,중간,중번,일)",attraction,unknown,,35.078728,129.08018,,,부산광역시 영도구 해양로301번길 45,,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222175627506_ttiel,,AttractionService:257:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,,
busan-A-00004,busan-A-00004,api_only_existing,태종대,attraction,unknown,,35.052643,129.0878,,,부산광역시 영도구 전망로 24,,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222180829962_ttiel,,AttractionService:258:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,,
busan-A-00005,busan-A-00005,api_only_existing,죽성성당,attraction,unknown,,35.241013,129.24864,,,부산광역시 기장군 기장읍 죽성리 134-7,,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222181829937_ttiel,,AttractionService:259:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,,
busan-A-00006,busan-A-00006,api_only_existing,"아홉산 숲 (한,영,중간,중번,일)",attraction,unknown,,35.287334,129.17046,,,부산광역시 기장군 철마면 웅천리 520-10,,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222185645736_ttiel,,AttractionService:260:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,,
busan-A-00007,busan-A-00007,api_only_existing,"해동용궁사 (한,영,중간,중번,일)",attraction,unknown,,35.188583,129.22346,,,부산광역시 기장군 기장읍 용궁길 86,,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222190823385_ttiel,,AttractionService:261:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,,
busan-A-00008,busan-A-00008,api_only_existing,임랑해수욕장,attraction,unknown,,35.31905,129.26451,,,부산광역시 기장군 장안읍 임랑리,,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224093809621_ttiel,,AttractionService:262:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,,
busan-A-00009,busan-A-00009,api_only_existing,"문화공감 수정, 초량1941(한,영,중간,중번,일)",attraction,unknown,,35.125793,129.04265,,,문화공감 수정 : 부산광역시 동구 홍곡로 75 초량1941 : 부산광역시 동구 망양로 533-5,,,,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224171115847_ttiel,,AttractionService:264:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",canonical_only,,
busan-A-00010,busan-A-00010,existing_enriched,"부산바다의 과거와 현재, 일광해수욕장",attraction,unknown,attraction,35.259953,129.23373,,09:00~18:00 (개장 중 입수가능 시간),부산광역시 기장군 일광읍 삼성리 143-10,051-709-5446,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=265&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225143353231_ttiel,265,VisitBusanContent:attraction:265:ko|AttractionService:265:ko,"{""title_ko"":""canonical"",""hours"":""visitbusan"",""address"":""visitbusan"",""phone"":""visitbusan"",""external_official_url"":""none"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",geo_title_category,,
