source_key,title,category,lat,lng,address,has_image,has_desc,comparison_result,ref_match
AttractionService:255:ko,흰여울문화마을,attraction,35.07885,129.04402,부산광역시 영도구 흰여울길,true,true,comparison_source_missing,
AttractionService:256:ko,깡깡이 예술마을,attraction,35.092648,129.03255,부산광역시 영도구 대평북로 36 깡깡이 안내센터,true,true,comparison_source_missing,
AttractionService:257:ko,"국립해양박물관(한,영,중간,중번,일)",attraction,35.078728,129.08018,부산광역시 영도구 해양로301번길 45,true,true,comparison_source_missing,
AttractionService:258:ko,태종대,attraction,35.052643,129.0878,부산광역시 영도구 전망로 24,true,true,comparison_source_missing,
AttractionService:259:ko,죽성성당,attraction,35.241013,129.24864,부산광역시 기장군 기장읍 죽성리 134-7,true,true,comparison_source_missing,
AttractionService:260:ko,"아홉산 숲 (한,영,중간,중번,일)",attraction,35.287334,129.17046,부산광역시 기장군 철마면 웅천리 520-10,true,true,comparison_source_missing,
AttractionService:261:ko,"해동용궁사 (한,영,중간,중번,일)",attraction,35.188583,129.22346,부산광역시 기장군 기장읍 용궁길 86,true,true,comparison_source_missing,
AttractionService:262:ko,임랑해수욕장,attraction,35.31905,129.26451,부산광역시 기장군 장안읍 임랑리,true,true,comparison_source_missing,
AttractionService:264:ko,"문화공감 수정, 초량1941(한,영,중간,중번,일)",attraction,35.125793,129.04265,"문화공감 수정 : 부산광역시 동구 홍곡로 75
초량1941 : 부산광역시 동구 망양로 533-5",true,true,comparison_source_missing,
AttractionService:265:ko,"부산바다의 과거와 현재, 일광해수욕장",attraction,35.259953,129.23373,부산광역시 기장군 일광읍 삼성리 143-10,true,true,comparison_source_missing,
AttractionService:266:ko,"구 백제병원 (한,영,중간,중번,일)",attraction,35.116383,129.03917,부산광역시 동구 중앙대로209번길 16,true,true,comparison_source_missing,
AttractionService:267:ko,백산기념관,attraction,35.101955,129.03456,부산광역시 중구 백산길 11,true,true,comparison_source_missing,
AttractionService:268:ko,"한성1918 부산생활문화센터(한,영,중간,중번,일)",attraction,35.10178,129.03444,부산광역시 중구 백산길 13,true,true,comparison_source_missing,
AttractionService:269:ko,"조선통신사역사관(한,영,중간,중번,일)",attraction,35.135754,129.06203,부산광역시 동구 자성로99,true,true,comparison_source_missing,
AttractionService:270:ko,부산해양자연사박물관,attraction,35.22178,129.07591,부산광역시 동래구 우장춘로 175,true,true,comparison_source_missing,
AttractionService:272:ko,보수동책방골목,attraction,35.103367,129.02663,부산광역시 중구 보수동1가 151-1,true,true,comparison_source_missing,
AttractionService:273:ko,"임시수도기념관(한,영,중간,중번,일)",attraction,35.103527,129.01735,부산광역시 서구 임시수도기념로 45,true,true,comparison_source_missing,
AttractionService:274:ko,"동아대석당박물관(한,영,중간,중번,일)",attraction,35.10497,129.01926,부산광역시 서구 구덕로 225,true,true,comparison_source_missing,
AttractionService:275:ko,"국립일제강제동원역사관(한,영,중간,중번,일)",attraction,35.124355,129.09192,부산광역시 남구 홍곡로320번길 100,true,true,comparison_source_missing,
AttractionService:276:ko,부산박물관,attraction,35.12957,129.09451,부산광역시 남구 유엔평화로 63,true,true,comparison_source_missing,
AttractionService:255:en,Huinnyeoul Culture Village at the end of the steep cliff,attraction,35.07885,129.04402,"Huinnyeoul-gil, Yeongdo-gu, Busan",true,true,comparison_source_missing,
AttractionService:256:en,Kangkangee Arts Village where history lives on,attraction,35.092648,129.03255,"Kangkangee Information Center, 36, Daepyeongbuk-ro, Yeongdo-gu, Busan",true,true,comparison_source_missing,
AttractionService:257:en,"Korea National Maritime Museum, the Flower of Maritime Culture",attraction,35.078728,129.08018,"45, Haeyang-ro 301beon-gil, Yeongdo-gu, Busan",true,true,comparison_source_missing,
AttractionService:258:en,Taejongdae Park’s 100 years of history with Yeongdo Lighthouse,attraction,35.052643,129.0878,"24, Jeonmang-ro, Yeongdo-gu, Busan",true,true,comparison_source_missing,
AttractionService:259:en,The unique view of the Gijang Ocean at Jukseong Catholic Church,attraction,35.241013,129.24864,"134-7, Jukseong-ri, Gijang-eup, Gijang-gun, Busan",true,true,comparison_source_missing,
AttractionService:260:en,Meet the forest preserved for over 400 years in its natural state,attraction,35.287334,129.17046," 520-10, Ungcheon-ri, Cheolma-myeon, Gijang-gun, Busan",true,true,comparison_source_missing,
AttractionService:261:en,Haedong Yonggungsa Temple in Gijang,attraction,35.188583,129.22346,"86, Yonggung-gil, Gijang-eup, Gijang-gun, Busan",true,true,comparison_source_missing,
AttractionService:262:en,"Imnang Beach, The Beach that only I want to know",attraction,35.31905,129.26451,"Imnang-ri, Jangan-eup, Gijang-gun, Busan",true,true,comparison_source_missing,
