source_key,data_sid,title_ko,date_start,date_end,venue,address,source_detail_url,official_event_url,ticket_url,social_url,external_url_type,image_url,listed_months,linked_festival_source_id,link_confidence,link_method,latitude,longitude,status,edition_year_changed,schedule_change_note
VisitBusanSchedule:6167:ko,6167,2026 북항 오션 SUP FESTA,2026-07-31,2026-08-09,북항 친수공원 및 랜드마크 부지 일원,부산광역시 동구 이순신대로 164,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6167,https://bhsupfesta.com/,,,organizer,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178467985961675.png,07|08,,none,none,,,schedule_ready,false,
VisitBusanSchedule:6111:ko,6111,발코니 뮤직쇼 앤 스트릿 페스타,2026-07-25,2026-12-19,부산 중구 광복로 차 없는 거리,부산 중구 창선동1가,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6111,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178418665091208.png,07|08|09|10|11|12,,none,none,,,schedule_ready,false,
VisitBusanSchedule:6067:ko,6067,2026 피란수도 부산 국가유산 야행,2026-07-24,2026-07-25,영도다리(유라리광장) 등 피란수도 부산유산 일원,부산 중구 중앙동7가,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6067,https://busan-heritage-night.com/,,,organizer,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178357993916092.jpg,07,,none,none,,,schedule_ready,false,
VisitBusanSchedule:5486:ko,5486,제48차 유네스코 세계유산위원회,2026-07-13,2026-07-29,부산 벡스코 일원,,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5486,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178390633524260.jpg,07,,none,none,,,schedule_ready,false,
VisitBusanSchedule:6037:ko,6037,포켓몬 메가페스타 2026 in 부산 「느긋느긋 바캉스」,2026-07-10,2026-08-09,"부산역, 범내골역, 전포역, 광안역, 센텀시티역, 명지 환승센터, 해운대 환승센터, 영도 국립해양박물관 정류소, 롯데백화점 부산본점 등",,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6037,https://pokemonkorea.co.kr/megafesta2026inbusan/menu757,,,organizer,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178304490764355.png,07|08,,none,none,,,schedule_ready,false,
VisitBusanSchedule:5907:ko,5907,「광안리 M 드론라이트쇼」 7월 공연 프로그램 안내,2026-07-04,2026-07-25,광안리 해수욕장,부산광역시 수영구 광안해변로 219,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5907,https://www.gwangallimdrone.co.kr,,,organizer,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178306147026906.png,07,,none,none,,,schedule_ready,false,
VisitBusanSchedule:6068:ko,6068,렛츠런파크 부산경남 SUN 더 워터페스티벌,2026-07-04,2026-08-17,렛츠런파크 부산경남 더비랜드 광장,부산 강서구 가락대로 929 렛츠런파크 부산경남,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6068,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178358530023674.jpg,07|08,,none,none,,,schedule_ready,false,
VisitBusanSchedule:6168:ko,6168,부산인디커넥트페스티벌 2026,2026-08-14,2026-08-16,부산 벡스코 제1전시장 2홀,부산 해운대구 APEC로 55 벡스코,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6168,https://www.bicfest.org/,,,organizer,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178468828336326.png,08,,none,none,,,schedule_ready,false,
VisitBusanSchedule:5348:ko,5348,2026 세계도서관정보대회,2026-08-10,2026-08-13,"벡스코, 부산지역 주요 도서관 및 문화시설 등",,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5348,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/177449122524861.jpg,08,,none,none,,,schedule_ready,false,
VisitBusanSchedule:6060:ko,6060,제30회 부산바다축제,2026-08-07,2026-08-13,다대포해수욕장 일원,부산 사하구 다대동,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6060,https://festivalbusan.com/seafestival/,,,organizer,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178348411318540.jpg,08,71,medium,title_exact,35.151604,129.11713,schedule_ready,true,FestivalService schedule appears stale; VisitBusan 2026 schedule used.
