candidate_id,canonical_id,candidate_status,title_ko,category,subcategory,content_type,latitude,longitude,coordinate_distance_m,hours,address,phone,external_official_url,source_detail_url,image_url,visitbusan_uc_seq,linked_source_keys,field_provenance,category_compatibility_method,review_reason,merge_target_id,subcategory_status,subcategory_evidence,mr_reason
busan-K-00309,busan-K-00309,api_only_existing,부산항힐링야영장,nature,unknown,레포츠,35.1057837263,129.0440916874,,,부산광역시 중구 이순신대로 72 (중앙동4가),,,,http://tong.visitkorea.or.kr/cms/resource/57/2726957_image2_1.jpg,,KorService2:2726803:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,camping_in_nature:recommend_accommodation/camping,camping_in_nature:recommend_accommodation/camping
busan-K-00311,busan-K-00311,api_only_existing,대저캠핑장,nature,unknown,레포츠,35.2074545784,128.9847746284,,,부산광역시 강서구 체육공원로6번길 184,,,,http://tong.visitkorea.or.kr/cms/resource/74/2729374_image2_1.jpg,,KorService2:2729157:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,camping_in_nature:recommend_accommodation/camping,camping_in_nature:recommend_accommodation/camping
busan-K-00315,busan-K-00315,api_only_existing,초원숲속캠핑장,nature,unknown,레포츠,35.3449845893,129.1880920151,,,부산광역시 기장군 정관읍 병산1길 18,,,,http://tong.visitkorea.or.kr/cms/resource/79/2799379_image2_1.png,,KorService2:2734175:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,camping_in_nature:recommend_accommodation/camping,camping_in_nature:recommend_accommodation/camping
busan-K-00316,busan-K-00316,api_only_existing,장안캠프,nature,unknown,레포츠,35.3418805818,129.252403167,,,부산광역시 기장군 장안읍 장안로 18,,,,http://tong.visitkorea.or.kr/cms/resource/55/2735855_image2_1.JPG,,KorService2:2734243:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,camping_in_nature:recommend_accommodation/camping,camping_in_nature:recommend_accommodation/camping
busan-K-00317,busan-K-00317,api_only_existing,화명오토캠핑장,nature,unknown,레포츠,35.2164177357,128.9995730939,,,부산광역시 북구 낙동강자전거길 1425 (덕천동),,,,http://tong.visitkorea.or.kr/cms/resource/80/2735780_image2_1.JPG,,KorService2:2734674:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,camping_in_nature:recommend_accommodation/camping,camping_in_nature:recommend_accommodation/camping
busan-K-00320,busan-K-00320,api_only_existing,제이스글램핑,nature,unknown,레포츠,35.2777040982,129.2338482308,,,부산광역시 기장군 일광읍 이천8길 132-20,,,,http://tong.visitkorea.or.kr/cms/resource/98/2741698_image2_1.jpg,,KorService2:2741526:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,camping_in_nature:recommend_accommodation/camping,camping_in_nature:recommend_accommodation/camping
busan-K-00321,busan-K-00321,api_only_existing,임랑카라반파크,nature,unknown,레포츠,35.3095065653,129.2593979022,,,부산광역시 기장군 일광면 일광로 763,,,,,,KorService2:2741535:ko,"{""title_ko"":""canonical"",""image_url"":""none"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,camping_in_nature:recommend_accommodation/camping,camping_in_nature:recommend_accommodation/camping
busan-K-00325,busan-K-00325,api_only_existing,더무빙 카라반,nature,unknown,레포츠,35.3226997305,129.2701216022,,,부산광역시 기장군 장안읍 해맞이로 290,,,,http://tong.visitkorea.or.kr/cms/resource/81/2748081_image2_1.jpg,,KorService2:2747589:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,camping_in_nature:recommend_accommodation/camping,camping_in_nature:recommend_accommodation/camping
busan-K-00378,busan-K-00378,api_only_existing,서프마린,nature,unknown,레포츠,35.1461166232,129.1145761217,,,부산광역시 수영구 광안해변로 125 (남천동),,,,http://tong.visitkorea.or.kr/cms/resource/87/3500487_image2_1.jpg,,KorService2:2783308:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,mobile_program:no_fixed_spot,mobile_program:no_fixed_spot
busan-K-00383,busan-K-00383,api_only_existing,송정서핑학교,nature,unknown,레포츠,35.1810226785,129.2024952959,,,부산광역시 해운대구 송정해변로 34-8 (송정동),,,,http://tong.visitkorea.or.kr/cms/resource/72/2787972_image2_1.jpg,,KorService2:2784112:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,mobile_program:no_fixed_spot,mobile_program:no_fixed_spot
busan-K-00422,busan-K-00422,api_only_existing,부산요트투어 3355마린,nature,unknown,레포츠,35.1598405944,129.1419844733,,,부산광역시 해운대구 해운대해변로 84,,,,http://tong.visitkorea.or.kr/cms/resource/71/2790371_image2_1.jpg,,KorService2:2790332:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,mobile_program:no_fixed_spot,mobile_program:no_fixed_spot
busan-K-00688,busan-K-00688,api_only_existing,부산요트투어 고고요트,nature,unknown,레포츠,35.1608543617,129.1415539265,,,부산광역시 해운대구 해운대해변로 84,,,,http://tong.visitkorea.or.kr/cms/resource/19/3009019_image2_1.jpg,,KorService2:3009050:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,mobile_program:no_fixed_spot,mobile_program:no_fixed_spot
busan-K-00708,busan-K-00708,api_only_existing,부산 요트투어 요트야,nature,unknown,레포츠,35.1608543617,129.1415539265,,,부산광역시 해운대구 해운대해변로 84 (우동),,,,http://tong.visitkorea.or.kr/cms/resource/37/3065337_image2_1.JPG,,KorService2:3065360:ko,"{""title_ko"":""canonical"",""image_url"":""canonical"",""latitude"":""canonical"",""longitude"":""canonical""}",korservice2_ct_28,,,manual_review,mobile_program:no_fixed_spot,mobile_program:no_fixed_spot
busan-VB-2142,,web_only_new,"물멍과 노을이 선사하는 특별한 힐링, 가덕도 ‘천성항 노지 캠핑장’",nature,other_nature,experience,35.02779,128.81564,,,부산광역시 강서구 천성동 3435,051-970-4000,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2142&lang_cd=ko,,2142,VisitBusanContent:experience:2142:ko,"{""title_ko"":""visitbusan"",""hours"":""none"",""address"":""visitbusan"",""latitude"":""visitbusan"",""image_url"":""none""}",category_confirmed,"[REVIEW-07] 천성항 노지 캠핑장, 강서구 캠핑 장소",,manual_review,camping_in_nature:recommend_accommodation/camping,camping_in_nature:recommend_accommodation/camping
busan-VB-1852,,web_only_new,바다가 보이는 부산항 힐링야영장,nature,other_nature,experience,35.11217,129.05035,,,부산광역시 동구 초량동 1185-1,051-400-1205,http://www.busanpa.com/redevelopment/Contents.do?mCode=MN0081,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=1852&lang_cd=ko,,1852,VisitBusanContent:experience:1852:ko,"{""title_ko"":""visitbusan"",""hours"":""none"",""address"":""visitbusan"",""latitude"":""visitbusan"",""image_url"":""none""}",category_confirmed,"[REVIEW-07] 부산항 힐링야영장, 동구 초량동 캠핑장",,manual_review,camping_in_nature:recommend_accommodation/camping,camping_in_nature:recommend_accommodation/camping
