visitbusan_source_key,visitbusan_uc_seq,visitbusan_title_ko,visitbusan_content_type,canonical_id,canonical_title,distance_m,title_similarity,category_compatible,match_status,match_confidence,match_method,visitbusan_hours,visitbusan_address,visitbusan_phone,visitbusan_external_official_url,visitbusan_source_detail_url,canonical_image_url,provenance_note,review_reason
VisitBusanContent:attraction:2753:ko,2753,지그재그아트센터,attraction,busan-A-00213,지그재그아트센터,0,1.0000,Y,matched,high,geo_title_category,10:00~18:00(월~토),부산 해운대구 달맞이길 30 엘시티 상가 포디움동 1001호,,https://www.zigzagartcenter.com/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2753&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20260609143205137_ttiel,canon:AttractionService:2753:ko,dist=0m sim=1.000
VisitBusanContent:attraction:2491:ko,2491,"남포, 광복지하도상가",attraction,busan-A-00204,"남포, 광복지하도상가",0,1.0000,Y,matched,high,geo_title_category,매일 10:00 ~ 20:00,남포지하도상가: 부산광역시 중구 구덕로 지하44 (남포동5가) 광복지하도상가: 부산광역시 중구 중앙대로 29번길 8 (중앙동1가),,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2491&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250728122343276_ttiel,canon:AttractionService:2491:ko,dist=0m sim=1.000
VisitBusanContent:attraction:2240:ko,2240,부산어린이대공원 치유의 숲,attraction,busan-A-00196,"부산어린이대공원 치유의숲(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,,부산광역시 부산진구 새싹로 295,051-860-7848,https://www.bisco.or.kr/bschildpark/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2240&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250110150900359_ttiel,canon:AttractionService:2240:ko,dist=0m sim=1.000
VisitBusanContent:attraction:2239:ko,2239,홍법사,attraction,busan-A-00195,"홍법사(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,,부산광역시 금정구 두구로33번길 202 홍법사,051-508-0345,http://www.hbs.or.kr/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2239&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250110145605040_ttiel,canon:AttractionService:2239:ko,dist=0m sim=1.000
VisitBusanContent:attraction:2237:ko,2237,내원정사,attraction,busan-A-00194,"내원정사(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,매일 08:00-21:00,부산광역시 서구 엄광산로40번길 80,051-242-0691,https://naewon.kr/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2237&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250110143214904_ttiel,canon:AttractionService:2237:ko,dist=0m sim=1.000
VisitBusanContent:attraction:2218:ko,2218,영도 해돋이 전망대,attraction,busan-A-00191,"영도해돋이전망대 (한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,,부산광역시 영도구 해돋이3길 410-1,051-419-4000(영도구청),,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2218&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20241219102705213_ttiel,canon:AttractionService:2218:ko,dist=0m sim=1.000
VisitBusanContent:attraction:2143:ko,2143,패스파인더 남포점,attraction,busan-A-00173,"패스파인더 남포점(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,매일 00:00-24:00 연중무휴,부산광역시 중구 광복중앙로 13 4층,0507-1448-9080,https://www.pathfinder.camp/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2143&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20241024144324691_ttiel,canon:AttractionService:2143:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1798:ko,1798,땅뫼산 황토숲길,attraction,busan-A-00140,"땅뫼산 황토숲길(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,,부산광역시 금정구 오륜동 352-3,051-519-4081,http://www.geumjeong.go.kr/tour/index.geumj,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1798&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20240401133553180_ttiel,canon:AttractionService:1798:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1777:ko,1777,인공철새서식지 명품둘레길,attraction,busan-A-00138,"인공철새서식지 명품둘레길(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,"11월-2월(07:00-17:00), 3월-10월(05:30-19:00)",부산광역시 강서구 신호동 203,051-970-4000,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1777&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20240201225043211_ttiel,canon:AttractionService:1777:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1776:ko,1776,복천사,attraction,busan-A-00137,"복천사(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,,부산광역시 영도구 산정길 41,051-417-5551,https://bokc.co.kr/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1776&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20240207102023070_ttiel,canon:AttractionService:1776:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1731:ko,1731,유엔평화공원,attraction,busan-A-00135,"유엔평화공원(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,상시,부산광역시 남구 대연동 707,051-607-6362,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1731&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20231026100047318_ttiel,canon:AttractionService:1731:ko,dist=0m sim=1.000
