source_key,data_sid,title_ko,date_start,date_end,venue,address,source_detail_url,official_event_url,ticket_url,social_url,external_url_type,image_url,listed_months,linked_festival_source_id,link_confidence,link_method,latitude,longitude,status,edition_year_changed,schedule_change_note
VisitBusanSchedule:5125:ko,5125,부산항과 재즈의 만남(2026 BUSAN JAZZ PORT),2026-01-24,2026-03-28,스페이스 원지,부산광역시 영도구 봉래나루로 214,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5125,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/176878622258420.jpg,01|02|03,,none,none,,,archived,false,
VisitBusanSchedule:5057:ko,5057,「광안리 M 드론라이트쇼」 1월 공연 프로그램 안내,2026-01-03,2026-01-31,광안리해변,,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5057,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/176655485883667.png,01,,none,none,,,archived,false,
VisitBusanSchedule:5073:ko,5073,2026 부산 시민의 종 타종행사,2025-12-31,2026-01-01,용두산공원 일원,,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5073,https://festivalbusan.com/busanbell/,,,organizer,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/176707211380317.jpg,01,406,low,url_domain_only,,,manual_link_review,false,
VisitBusanSchedule:5055:ko,5055,"굿바이 2025, 헬로 2026! 부산슈퍼 연말 연시 감사 세일",2025-12-24,2026-01-04,부산슈퍼 청사포점,부산 해운대구 청사포로 120 2층,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5055,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/176654144538791.jpg,01,,none,none,,,archived,false,
VisitBusanSchedule:5014:ko,5014,2025 광복로 겨울빛 트리축제,2025-12-05,2026-02-22,"부산 광복로, 광복중앙로 일원",,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5014,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/176481545391132.png,01|02,449,medium,title_exact,35.09927,129.03131,archived,false,
VisitBusanSchedule:4837:ko,4837,2025 서면 빛 축제,2025-10-13,2026-02-14,"서면 일원(중앙대로691번길, 서면로, 신천대로62번길 일원)",,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=4837,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/176058675988681.png,01|02,2136,medium,title_exact,35.15347,129.05841,archived,false,
VisitBusanSchedule:5148:ko,5148,광안리 M 드론라이트쇼 설 특별공연 안내,2026-02-14,2026-02-14,광안리 해변,,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5148,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/176974887602116.jpg,02,,none,none,,,archived,false,
VisitBusanSchedule:5211:ko,5211,용두산빌리지 ‘귀신 복주머니 이벤트’,2026-02-14,2026-02-18,용두산빌리지(부산타워 앞),부산 중구 용두산길 37-27 용두산공원,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5211,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/177079332433603.png,02,,none,none,,,archived,false,
VisitBusanSchedule:5131:ko,5131,「광안리 M 드론라이트쇼」 2월 공연 프로그램 안내,2026-02-07,2026-02-28,광안리해변,,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5131,,,,,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/176907114169116.jpg,02,,none,none,,,archived,false,
VisitBusanSchedule:5128:ko,5128,2025 부산학생건축페스티벌 제5회 ‘VOL.4 EXHIBITION’,2026-02-06,2026-02-08,부산 유라시아 플랫폼 109호,부산광역시 동구 중앙대로 210,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5128,https://forms.gle/prXp27PCb5Hw6ppW7,,,organizer,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/176904523050801.jpg,02,,none,none,,,archived,false,
