dataSid,ko_title,date_start,date_end,ko_venue,ko_address,official_url,visitbusan_url_ko,image_url,en_available,en_review,ja_available,ja_review,zhs_available,zhs_review,zht_available,zht_review,multi_month_candidate
6167,2026 북항 오션 SUP FESTA,2026-07-31,2026-08-09,북항 친수공원 및 랜드마크 부지 일원,부산광역시 동구 이순신대로 164,https://bhsupfesta.com/,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6167,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178467985961675.png,false,false,false,false,false,false,false,false,true
6111,발코니 뮤직쇼 앤 스트릿 페스타,2026-07-25,2026-12-19,부산 중구 광복로 차 없는 거리,부산 중구 창선동1가,,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6111,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178418665091208.png,false,false,false,false,false,false,false,false,true
6067,2026 피란수도 부산 국가유산 야행,2026-07-24,2026-07-25,영도다리(유라리광장) 등 피란수도 부산유산 일원,부산 중구 중앙동7가,https://busan-heritage-night.com/,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6067,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178357993916092.jpg,false,false,false,false,false,false,false,false,false
6090,2026 대한민국 밤밤페스타 부산 시즌2,2026-07-18,2026-07-19,영화의 전당,부산광역시 해운대구 수영강변대로 120 영화의전당,https://www.dureraum.org/bcc/main/main.do?rbsIdx=1,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6090,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178401164476273.png,false,false,false,false,not_fetched,,not_fetched,,false
6074,전시 <울트라백화점 부산 : 텍스트 쇼핑 클럽>,2026-07-17,2026-11-01,피아크 부산,부산 영도구 해양로195번길 180 피아크(P.ARK) 2F,https://nol.yanolja.com/ticket/products/26006746,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6074,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178390587341086.jpg,false,false,false,false,not_fetched,,not_fetched,,true
6083,제1회 사이언스 로드 in 태종대,2026-07-17,2026-07-17,태종대 일원,,,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6083,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178398813163467.jpg,false,false,false,false,not_fetched,,not_fetched,,false
5486,제48차 유네스코 세계유산위원회,2026-07-13,2026-07-29,부산 벡스코 일원,,,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5486,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178390633524260.jpg,false,false,false,false,not_fetched,,not_fetched,,false
6037,포켓몬 메가페스타 2026 in 부산 「느긋느긋 바캉스」,2026-07-10,2026-08-09,"부산역, 범내골역, 전포역, 광안역, 센텀시티역, 명지 환승센터, 해운대 환승센터, 영도 국립해양박물관 정류소, 롯데백화점 부산본점 등",,https://pokemonkorea.co.kr/megafesta2026inbusan/menu757,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=6037,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178304490764355.png,false,false,false,false,not_fetched,,not_fetched,,true
5878,2026 부산브랜드페스타,2026-07-10,2026-07-12,BEXCO 제1전시장 2홀,부산 해운대구 APEC로 55 벡스코,https://www.bbf.show,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5878,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178175093285530.jpg,false,false,false,false,not_fetched,,not_fetched,,false
5937,제16회 수국꽃문화축제,2026-07-09,2026-07-12,태종대유원지,태종사 및 체육공원 일원,,https://www.visitbusan.net/kr/schedule/view.do?boardId=BBS_0000009&menuCd=DOM_000000204012000000&dataSid=5937,https://www.visitbusan.net/upload_data/board_data/BBS_0000009/178296644230910.png,false,false,false,false,not_fetched,,not_fetched,,false
