visitbusan_source_key,visitbusan_uc_seq,visitbusan_title_ko,visitbusan_content_type,canonical_id,canonical_title,distance_m,title_similarity,category_compatible,match_status,match_confidence,match_method,visitbusan_hours,visitbusan_address,visitbusan_phone,visitbusan_external_official_url,visitbusan_source_detail_url,canonical_image_url,provenance_note,review_reason
VisitBusanContent:attraction:2678:ko,2678,"감천문화마을에 지어진 어린왕자의 집, 리틀 프린스 하우스",attraction,,,,,,web_only,,no_canonical_match,매일 9:00~18:00,부산광역시 사하구 감내1로 200(구 감내어울터),,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2678&lang_cd=ko,,,
VisitBusanContent:attraction:2612:ko,2612,"도심 속 호수로 떠나는 산책, 회동수원지 둘레길",attraction,,,,,,web_only,,no_canonical_match,,부산 금정구 오륜동 352-3,,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2612&lang_cd=ko,,,
VisitBusanContent:attraction:2598:ko,2598,"와이어로 시작하는 이야기,",attraction,,,,,,web_only,,no_canonical_match,화~토 9:00~17:00,부산 수영구 구락로141번길 63,,http://kiswiremuseum.com/ko/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2598&lang_cd=ko,,,
VisitBusanContent:attraction:2594:ko,2594,"이야기를 따라 걷는 길, 초량 이바구길",attraction,,,,,,web_only,,no_canonical_match,,부산 동구 초량동 865-48,,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2594&lang_cd=ko,,,
VisitBusanContent:attraction:2588:ko,2588,"바다 냄새와 사람 냄새가 만나는 곳, 충무동 해안시장",attraction,,,,,,web_only,,no_canonical_match,,부산 서구 해안새벽시장길 7,,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2588&lang_cd=ko,,,
VisitBusanContent:attraction:2587:ko,2587,"가덕도의 바다 끝에서 만나는 곳, 대항 어항동 방파제 등대",attraction,,,,,,web_only,,no_canonical_match,,부산 강서구 대항동 393-3,,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2587&lang_cd=ko,,,
VisitBusanContent:attraction:2551:ko,2551,부산 풍경을 한눈에 담는 드라이브 코스,attraction,,,,,,web_only,,no_canonical_match,,부산광역시 부산진구 전포동 산50-18,,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2551&lang_cd=ko,,,
VisitBusanContent:attraction:2408:ko,2408,"골목마다 예술이 피어나는 마을, 기장 대룡마을",attraction,,,,,,web_only,,no_canonical_match,,부산광역시 기장군 장안읍 대룡1길 17,,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2408&lang_cd=ko,,,
VisitBusanContent:attraction:2314:ko,2314,범어사 성보박물관에서 불교문화의 깊이에 빠지다,attraction,,,,,,web_only,,no_canonical_match,화요일~일요일 09:30~17:00,부산광역시 금정구 범어사로 296,051-508-6139,http://www.beomeomuseum.org,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2314&lang_cd=ko,,,
VisitBusanContent:attraction:2299:ko,2299,"도심 속 자연에서 상쾌한 체육활동, 황령산레포츠공원",attraction,,,,,,web_only,,no_canonical_match,,부산광역시 부산진구 진남로328번길 99,051-605-4128,https://www.busanjin.go.kr/index.busanjin,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2299&lang_cd=ko,,,
