content_type,content_id,title_ko,url_ko,url_en,language_available,address,lat,lon,phone,has_hours,has_images,has_website,field_count,canonical_match
attraction,2753,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2753&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000201001001000&uc_seq=2753&lang_cd=en,true,부산 해운대구 달맞이길 30 엘시티 상가 포디움동 1001호,35.161175,129.16803,,1,0,1,5,web_only
attraction,2678,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2678&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000201001001000&uc_seq=2678&lang_cd=en,,부산광역시 사하구 감내1로 200(구 감내어울터),35.09775,129.00851,,1,0,1,2,web_only
attraction,2612,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2612&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000201001001000&uc_seq=2612&lang_cd=en,,부산 금정구 오륜동 352-3,35.245823,129.11913,,0,0,1,1,web_only
food,2386,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2386&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000201002001000&uc_seq=2386&lang_cd=en,true,부산진구 동성로 59 2층,35.15574,129.06819,070-7607-7060,1,0,1,5,web_only
food,2384,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2384&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000201002001000&uc_seq=2384&lang_cd=en,,해운대구 청사포로 127,35.1607,129.19267,0507-1349-9256,1,0,1,5,web_only
food,2381,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2381&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000201002001000&uc_seq=2381&lang_cd=en,,수영구 수영로679번길 22,35.166687,129.11377,0507-1445-9312,1,0,1,5,web_only
shopping,2670,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2670&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000201003001000&uc_seq=2670&lang_cd=en,,부산 사상구 광장로 7 르네시떼,35.164616,128.97768,051-319-5000,1,0,1,5,web_only
shopping,2662,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2662&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000201003001000&uc_seq=2662&lang_cd=en,,광안점: 부산 수영구 광안로 25 전포점: 부산 부산진구 전포대로199번길 12,35.1563,129.11546,광안점: 010-2922-1015 전포점: 010-99,1,0,1,4,web_only
shopping,2589,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2589&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000201003001000&uc_seq=2589&lang_cd=en,,부산광역시 남구 자유평화로57번길 33,35.14279,129.06499,,0,0,1,2,web_only
course,2788,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202012001000&uc_seq=2788&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000202012001000&uc_seq=2788&lang_cd=en,,"부산광역시 영도구 전망로 119, 태종대유원지 태종사 및 체육공원 일원",35.05597,129.08975,,0,0,1,2,matched
course,2624,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202012001000&uc_seq=2624&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000202012001000&uc_seq=2624&lang_cd=en,,"부산광역시"" />",35.050392,129.08827,,1,0,1,0,web_only
course,2606,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202012001000&uc_seq=2606&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000202012001000&uc_seq=2606&lang_cd=en,,"부산광역시"" />",35.18112,129.1679,,1,0,1,0,web_only
experience,2789,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2789&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000202008001000&uc_seq=2789&lang_cd=en,,"부산광역시"" />",35.219234,129.08647,,0,0,1,0,web_only
experience,2784,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2784&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000202008001000&uc_seq=2784&lang_cd=en,,"부산광역시"" />",35.046528,128.96274,,0,0,1,2,web_only
experience,2763,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2763&lang_cd=ko,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000202008001000&uc_seq=2763&lang_cd=en,,"부산 해운대구 센텀서로 30, KNN타워 B1",35.171837,129.12862,051-664-8400,1,0,1,6,web_only
