source_key,content_type,uc_seq,language,title_ko,address,phone,lat,lon,hours,closed_days,external_official_url,representative_menu,image_url,category_label,language_available,parse_status,missing_required_fields,source_detail_url,collected_at
VisitBusanContent:attraction:2753:ko,attraction,2753,ko,지그재그아트센터,부산 해운대구 달맞이길 30 엘시티 상가 포디움동 1001호,,35.161175,129.16803,10:00~18:00(월~토),매주 일요일,https://www.zigzagartcenter.com/,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2753&lang_cd=ko,2026-07-24T07:09:55.854Z
VisitBusanContent:attraction:2678:ko,attraction,2678,ko,"감천문화마을에 지어진 어린왕자의 집, 리틀 프린스 하우스",부산광역시 사하구 감내1로 200(구 감내어울터),,35.09775,129.00851,매일 9:00~18:00,,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2678&lang_cd=ko,2026-07-24T07:09:56.590Z
VisitBusanContent:attraction:2612:ko,attraction,2612,ko,"도심 속 호수로 떠나는 산책, 회동수원지 둘레길",부산 금정구 오륜동 352-3,,35.245823,129.11913,,,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2612&lang_cd=ko,2026-07-24T07:09:57.307Z
VisitBusanContent:attraction:2598:ko,attraction,2598,ko,"와이어로 시작하는 이야기,",부산 수영구 구락로141번길 63,,35.177723,129.11348,화~토 9:00~17:00,"일요일, 월요일",http://kiswiremuseum.com/ko/,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2598&lang_cd=ko,2026-07-24T07:09:58.044Z
VisitBusanContent:attraction:2594:ko,attraction,2594,ko,"이야기를 따라 걷는 길, 초량 이바구길",부산 동구 초량동 865-48,,35.11814,129.03362,,,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2594&lang_cd=ko,2026-07-24T07:09:58.739Z
VisitBusanContent:attraction:2588:ko,attraction,2588,ko,"바다 냄새와 사람 냄새가 만나는 곳, 충무동 해안시장",부산 서구 해안새벽시장길 7,,35.095985,129.0255,,,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2588&lang_cd=ko,2026-07-24T07:09:59.440Z
VisitBusanContent:attraction:2587:ko,attraction,2587,ko,"가덕도의 바다 끝에서 만나는 곳, 대항 어항동 방파제 등대",부산 강서구 대항동 393-3,,35.011753,128.82515,,,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2587&lang_cd=ko,2026-07-24T07:10:00.123Z
VisitBusanContent:attraction:2551:ko,attraction,2551,ko,부산 풍경을 한눈에 담는 드라이브 코스,부산광역시 부산진구 전포동 산50-18,,35.157204,129.08163,,,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2551&lang_cd=ko,2026-07-24T07:10:00.870Z
VisitBusanContent:attraction:2491:ko,attraction,2491,ko,"남포, 광복지하도상가",남포지하도상가: 부산광역시 중구 구덕로 지하44 (남포동5가) 광복지하도상가: 부산광역시 중구 중앙대로 29번길 8 (중앙동1가),,35.097282,129.02728,매일 10:00 ~ 20:00,매월 둘째 주 화요일,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2491&lang_cd=ko,2026-07-24T07:10:01.567Z
VisitBusanContent:attraction:2408:ko,attraction,2408,ko,"골목마다 예술이 피어나는 마을, 기장 대룡마을",부산광역시 기장군 장안읍 대룡1길 17,,35.370792,129.2628,,,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2408&lang_cd=ko,2026-07-24T07:10:02.290Z
VisitBusanContent:attraction:2314:ko,attraction,2314,ko,범어사 성보박물관에서 불교문화의 깊이에 빠지다,부산광역시 금정구 범어사로 296,051-508-6139,35.278435,129.0744,화요일~일요일 09:30~17:00,"매주 월요일, 설 추석 연휴",http://www.beomeomuseum.org,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2314&lang_cd=ko,2026-07-24T07:10:03.023Z
VisitBusanContent:attraction:2299:ko,attraction,2299,ko,"도심 속 자연에서 상쾌한 체육활동, 황령산레포츠공원",부산광역시 부산진구 진남로328번길 99,051-605-4128,35.15709,129.07631,,,https://www.busanjin.go.kr/index.busanjin,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2299&lang_cd=ko,2026-07-24T07:10:03.737Z
VisitBusanContent:attraction:2288:ko,attraction,2288,ko,"삶의 흔적이 예술로 변하는 공간, 영주맨션","부산광역시 중구 영초길 51 9-다, 지하5호",,35.113503,129.03278,전시기간 중 운영 : 매일 10:00~18:00,,https://youngjumansion.wixsite.com/main/bio,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2288&lang_cd=ko,2026-07-24T07:10:04.486Z
VisitBusanContent:attraction:2284:ko,attraction,2284,ko,"부산 원도심에서 만나는 독립영화관, BNK부산은행 아트시네마 모퉁이극장",부산광역시 중구 광복중앙로 13 3층,051-256-1895,35.1006,129.0309,매일 10:00~22:00,,https://www.dtryx.com/cinema/main.do?cgid=FE8EF4D2-F22D-4802-A39A-D58F23A29C1E&BrandCd=etc&CinemaCd=000097,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2284&lang_cd=ko,2026-07-24T07:10:05.242Z
VisitBusanContent:attraction:2275:ko,attraction,2275,ko,낙동강 강변뷰가 아름다운 섬 ‘중사도’에서 특별한 자연 여행,부산광역시 강서구 식만동,051-970-4000(강서구청),35.20947,128.91457,,,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2275&lang_cd=ko,2026-07-24T07:10:05.957Z
VisitBusanContent:attraction:2274:ko,attraction,2274,ko,화려한 자연경관과 오랜 역사가 한데 어우러진 ‘동백섬’,부산광역시 해운대구 우동 710-1,051-749-7621,35.15397,129.1523,,,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2274&lang_cd=ko,2026-07-24T07:10:06.727Z
VisitBusanContent:attraction:2240:ko,attraction,2240,ko,부산어린이대공원 치유의 숲,부산광역시 부산진구 새싹로 295,051-860-7848,35.185402,129.04234,,,https://www.bisco.or.kr/bschildpark/,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2240&lang_cd=ko,2026-07-24T07:10:07.490Z
VisitBusanContent:attraction:2239:ko,attraction,2239,ko,홍법사,부산광역시 금정구 두구로33번길 202 홍법사,051-508-0345,35.30383,129.11041,,,http://www.hbs.or.kr/,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2239&lang_cd=ko,2026-07-24T07:10:08.217Z
VisitBusanContent:attraction:2237:ko,attraction,2237,ko,내원정사,부산광역시 서구 엄광산로40번길 80,051-242-0691,35.126575,129.01202,매일 08:00-21:00,,https://naewon.kr/,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2237&lang_cd=ko,2026-07-24T07:10:08.939Z
VisitBusanContent:attraction:2229:ko,attraction,2229,ko,숲속 힐링과 문화가 녹아있는 ‘륜빌리지’,부산광역시 금정구 오륜대로 262 륜 빌리지 Ryun Village,0507-1340-4610,35.24763,129.11644,11:00-17:00,"매주 화요일 정기휴무 단축 운영, 비정기 휴무 등은 공식 인스타그램으로 공지",https://www.instagram.com/cafe_ryun_official/,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2229&lang_cd=ko,2026-07-24T07:10:09.677Z
VisitBusanContent:attraction:2220:ko,attraction,2220,ko,조용한 바다 앞 사찰 ‘해광사’에서 평화로운 새해맞이,부산광역시 기장군 기장읍 기장해안로 340,051-721-3167,35.205593,129.22546,,,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2220&lang_cd=ko,2026-07-24T07:10:10.396Z
VisitBusanContent:attraction:2218:ko,attraction,2218,ko,영도 해돋이 전망대,부산광역시 영도구 해돋이3길 410-1,051-419-4000(영도구청),35.08908,129.05594,,,,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2218&lang_cd=ko,2026-07-24T07:10:11.161Z
VisitBusanContent:attraction:2210:ko,attraction,2210,ko,"부산 현대미술의 새로운 성지, 갤러리 플레이리스트",부산광역시 중구 대청로138번길 3 1층(용두산공원 공영주차장 주차),070-8287-2259,35.102535,129.03517,수요일~토요일 11:00~18:00,"매주 일, 월, 화요일",https://www.instagram.com/galleryplaylist,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2210&lang_cd=ko,2026-07-24T07:10:11.955Z
VisitBusanContent:attraction:2206:ko,attraction,2206,ko,"신념과 희생의 발자취를 따라, ‘오륜대 순교자 성지’",부산광역시 금정구 오륜대로 106-1,051-515-0030,35.24589,129.10143,,,http://www.oryundae.com/main/main.html,,,마이페이지,true,ok,image_url,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2206&lang_cd=ko,2026-07-24T07:10:12.725Z
