source_key,content_type,uc_seq,language,title_ko,address,phone,lat,lon,hours,closed_days,website,representative_menu,image_url,category_label,language_available,parse_status,missing_required_fields,source_detail_url,collected_at
VisitBusanContent:attraction:2753:ko,attraction,2753,ko,지그재그아트센터,부산 해운대구 달맞이길 30 엘시티 상가 포디움동 1001호,,35.161175,129.16803,10:00~18:00(월~토),매주 일요일,https://www.zigzagartcenter.com/,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2753&lang_cd=ko,2026-07-24T04:30:06.801Z
VisitBusanContent:attraction:2678:ko,attraction,2678,ko,"감천문화마을에 지어진 어린왕자의 집, 리틀 프린스 하우스",부산광역시 사하구 감내1로 200(구 감내어울터),,35.09775,129.00851,매일 9:00~18:00,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2678&lang_cd=ko,2026-07-24T04:30:07.656Z
VisitBusanContent:attraction:2612:ko,attraction,2612,ko,"도심 속 호수로 떠나는 산책, 회동수원지 둘레길",부산 금정구 오륜동 352-3,,35.245823,129.11913,,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2612&lang_cd=ko,2026-07-24T04:30:08.494Z
VisitBusanContent:attraction:2598:ko,attraction,2598,ko,"와이어로 시작하는 이야기,",부산 수영구 구락로141번길 63,,35.177723,129.11348,화~토 9:00~17:00,"일요일, 월요일",http://kiswiremuseum.com/ko/,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2598&lang_cd=ko,2026-07-24T04:30:09.417Z
VisitBusanContent:attraction:2594:ko,attraction,2594,ko,"이야기를 따라 걷는 길, 초량 이바구길",부산 동구 초량동 865-48,,35.11814,129.03362,,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2594&lang_cd=ko,2026-07-24T04:30:10.228Z
VisitBusanContent:attraction:2588:ko,attraction,2588,ko,"바다 냄새와 사람 냄새가 만나는 곳, 충무동 해안시장",부산 서구 해안새벽시장길 7,6577-4448-8387,35.095985,129.0255,,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2588&lang_cd=ko,2026-07-24T04:30:11.094Z
VisitBusanContent:attraction:2587:ko,attraction,2587,ko,"가덕도의 바다 끝에서 만나는 곳, 대항 어항동 방파제 등대",부산 강서구 대항동 393-3,,35.011753,128.82515,,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2587&lang_cd=ko,2026-07-24T04:30:11.894Z
VisitBusanContent:attraction:2566:ko,attraction,2566,ko,상세보기,부산 동래구 낙민로 28 구 동래역사,,35.19779,129.09004,화~토 10:00~16:00,"일요일, 월요일",https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2566&lang_cd=ko,2026-07-24T04:30:12.754Z
VisitBusanContent:attraction:2551:ko,attraction,2551,ko,부산 풍경을 한눈에 담는 드라이브 코스,부산광역시 부산진구 전포동 산50-18,,35.157204,129.08163,,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2551&lang_cd=ko,2026-07-24T04:30:13.585Z
VisitBusanContent:attraction:2491:ko,attraction,2491,ko,"남포, 광복지하도상가",남포지하도상가: 부산광역시 중구 구덕로 지하44 (남포동5가) 광복지하도상가: 부산광역시 중구 중앙대로 29번길 8 (중앙동1가),,35.097282,129.02728,매일 10:00 ~ 20:00,매월 둘째 주 화요일,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2491&lang_cd=ko,2026-07-24T04:30:14.416Z
