candidate_id,title_ko,category,image_status_21g,image_status_21h_rev2,status_changed,rights_status
busan-A-00001,흰여울문화마을,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00002,깡깡이 예술마을,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00003,"국립해양박물관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00004,태종대,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00005,죽성성당,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00006,"아홉산 숲 (한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00007,"해동용궁사 (한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00008,임랑해수욕장,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00009,"문화공감 수정, 초량1941(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00010,"부산바다의 과거와 현재, 일광해수욕장",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00011,"구 백제병원 (한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00012,백산기념관,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00013,"한성1918 부산생활문화센터(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00014,"조선통신사역사관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00015,부산해양자연사박물관,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00016,보수동책방골목,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00017,"임시수도기념관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00018,"동아대석당박물관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00019,"국립일제강제동원역사관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00020,부산박물관,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00021,"유엔기념공원, 유엔평화기념관(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00022,오륙도,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00023,신선대,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00024,"송정해수욕장, 죽도공원",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00025,"아난티 코브 이터널저니(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00026,민락수변공원,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00027,"송도해수욕장(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00028,아미산전망대,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00029,아미동 비석마을,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00030,부산시립미술관,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00031,오랑대공원,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00032,국립수산과학관,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00033,요산문학관,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00034,박차정의사 생가,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00035,우장춘 기념관,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00036,누리바라기전망대,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00037,"최민식갤러리(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00038,수영사적공원,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00039,부산기상관측소,attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00040,"철새와 함께하는 아름다운 문화의 향연, 을숙도(한,영,중간,중번,일)",attraction,image_partial,image_sufficient,yes,operational_assumed
busan-A-00041,부산시청자미디어센터,attraction,image_partial,image_sufficient,yes,operational_assumed
