candidate_id,title_ko,primary_status,pg_high_count,pg_manual_count,best_pg_confidence,representative_photo_id,representative_photo_url,representative_title,selection_score,classification,reason
busan-A-00001,흰여울문화마을,review_required,93,0,high,2732264,http://tong.visitkorea.or.kr/cms2/website/64/2732264.jpg,흰여울문화마을,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00002,깡깡이 예술마을,review_required,3,0,high,2927498,https://tong.visitkorea.or.kr/cms/resource_photo/98/2927498_image2_1.jpg,깡깡이예술마을,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00003,"국립해양박물관(한,영,중간,중번,일)",review_required,0,45,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00004,태종대,review_required,38,50,high,1932664,http://tong.visitkorea.or.kr/cms2/website/64/1932664.jpg,태종대,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00005,죽성성당,review_required,14,5,high,2011967,http://tong.visitkorea.or.kr/cms2/website/67/2011967.jpg,죽성성당,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00006,"아홉산 숲 (한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00007,"해동용궁사 (한,영,중간,중번,일)",review_required,0,19,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00008,임랑해수욕장,review_required,0,2,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00009,"문화공감 수정, 초량1941(한,영,중간,중번,일)",review_required,0,1,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00010,"부산바다의 과거와 현재, 일광해수욕장",review_required,0,1,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00011,"구 백제병원 (한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00012,백산기념관,review_required,1,0,high,2927816,https://tong.visitkorea.or.kr/cms/resource_photo/16/2927816_image2_1.jpg,백산기념관,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00013,"한성1918 부산생활문화센터(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00014,"조선통신사역사관(한,영,중간,중번,일)",review_required,0,30,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00015,부산해양자연사박물관,review_required,1,0,high,2928430,https://tong.visitkorea.or.kr/cms/resource_photo/30/2928430_image2_1.jpg,부산해양자연사박물관,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00016,보수동책방골목,review_required,0,1,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00017,"임시수도기념관(한,영,중간,중번,일)",review_required,0,4,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00018,"동아대석당박물관(한,영,중간,중번,일)",review_required,0,1,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00019,"국립일제강제동원역사관(한,영,중간,중번,일)",review_required,0,2,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00020,부산박물관,review_required,73,0,high,1707611,http://tong.visitkorea.or.kr/cms2/website/11/1707611.jpg,부산박물관,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00021,"유엔기념공원, 유엔평화기념관(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00022,오륙도,review_required,44,34,high,1826726,http://tong.visitkorea.or.kr/cms2/website/26/1826726.jpg,오륙도,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00023,신선대,review_required,1,1,high,2928594,https://tong.visitkorea.or.kr/cms/resource_photo/94/2928594_image2_1.jpg,신선대,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00024,"송정해수욕장, 죽도공원",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00025,"아난티 코브 이터널저니(한,영,중간,중번,일)",review_required,0,0,no_match,,,,0,keep_primary,primary=review_required; no supplementary action needed
busan-A-00026,민락수변공원,review_required,4,0,high,2928206,https://tong.visitkorea.or.kr/cms/resource_photo/06/2928206_image2_1.jpg,민락수변공원,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00027,"송도해수욕장(한,영,중간,중번,일)",review_required,0,1,manual_review,,,,0,review_required,"primary rights unknown (dec=""review_required""); PG match=manual_review"
busan-A-00028,아미산전망대,review_required,24,3,high,1989156,http://tong.visitkorea.or.kr/cms2/website/56/1989156.jpg,아미산전망대,24,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00029,아미동 비석마을,review_required,2,0,high,2927944,https://tong.visitkorea.or.kr/cms/resource_photo/44/2927944_image2_1.jpg,아미동비석마을,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
busan-A-00030,부산시립미술관,review_required,7,0,high,1708012,http://tong.visitkorea.or.kr/cms2/website/12/1708012.jpg,부산시립미술관,20,review_required,"primary rights unknown (dec=""review_required""); PG match=high"
