candidate_id,title_ko,category,image_url,image_source_domain,prior_vb_rights_class,rights_status,classification_method,rights_basis,blocked_reason,review_reason
busan-A-00001,흰여울문화마을,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222164810529_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00002,깡깡이 예술마을,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222171209005_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00003,"국립해양박물관(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222175627506_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00004,태종대,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222180829962_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00005,죽성성당,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222181829937_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00006,"아홉산 숲 (한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222185645736_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00007,"해동용궁사 (한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191222190823385_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00008,임랑해수욕장,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224093809621_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00009,"문화공감 수정, 초량1941(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191224171115847_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00010,"부산바다의 과거와 현재, 일광해수욕장",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225143353231_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00011,"구 백제병원 (한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225145805369_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00012,백산기념관,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150331107_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00013,"한성1918 부산생활문화센터(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150936833_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00014,"조선통신사역사관(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151358656_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00015,부산해양자연사박물관,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151830289_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00016,보수동책방골목,attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225154726785_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
busan-A-00017,"임시수도기념관(한,영,중간,중번,일)",attraction,https://www.visitbusan.net/uploadImgs/files/cntnts/20250929174908393_ttiel,www.visitbusan.net,rights_unknown,operational_assumed,operational_policy,"공식 관광 원천 일반 홍보 이미지, 이미지 수준 명시적 제한 미확인",,
