번호,candidate_id,canonical_id,한국어명,영문명,category,subcategory,district,address,현재이미지,최종상태,HOLD이유,source,source_url,후속해결방법
1,busan-F-00251,busan-F-00251,은하갈비,Eunha galbi,restaurant,,동구,부산광역시 동구 초량중로 86,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
2,busan-F-00253,busan-F-00253,기장손칼국수, Gijangson kalguksu,restaurant,,부산진구,부산 부산진구 서면로 56 (부전동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
3,busan-F-00255,busan-F-00255,삼오불고기,Samo bulgogi,restaurant,,수영구,부산 수영구 수영로610번길 24-2 (광안동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
4,busan-F-00256,busan-F-00256,언양불고기부산집,Eonyang bulgogi busanjip,restaurant,,수영구,부산 수영구 남천바다로 32 (남천동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
5,busan-F-00259,busan-F-00259,새총횟집,Saechong hoetjip,restaurant,,해운대구,부산 해운대구 반여로155번길 25 (반여동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
6,busan-F-00260,busan-F-00260,초필살돼지구이,Chopilsal dwaejigui,restaurant,,해운대구,부산 해운대구 마린시티3로 23 (우동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
7,busan-F-00262,busan-F-00262,부다면옥,Budamyeonok,restaurant,,해운대구,부산 해운대구 중동1로 36 (중동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
8,busan-F-00264,busan-F-00264,영남돼지,Yeongnam dwaeji,restaurant,,해운대구,부산 해운대구 해운대해변로209번가길 13 (우동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
9,busan-F-00269,busan-F-00269,산동완탕교자관, Sandong Wantang gyojagwan,restaurant,,동구,부산 동구 중앙대로248번길 3-11 (초량동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
10,busan-F-00273,busan-F-00273,스시시안,Sushi sian,restaurant,,해운대구,부산 해운대구 센텀1로 9 (우동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
11,busan-F-00275,busan-F-00275,야키토리해공,YAKITORI Haegong,restaurant,,수영구,부산 수영구 민락본동로19번길 30-5 (민락동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
12,busan-F-00278,busan-F-00278,라꽁띠,La ConTi,restaurant,,해운대구,부산 해운대구 청사포로 85 (중동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
13,busan-F-00279,busan-F-00279,리오네,Rione,restaurant,,수영구,부산 수영구 구락로 36 (수영동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
14,busan-F-00281,busan-F-00281,음주양식당오스테리아어부,Osteria Aboo,restaurant,,해운대구,부산 해운대구 해운대로570번길 23 더세일링타워 3층,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
15,busan-F-00282,busan-F-00282,이재모피자,Lee Jae-mo Pizza,restaurant,,중구,부산 중구 광복중앙로 31 (신창동1가),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
16,busan-F-00285,busan-F-00285,달타이,DAL THAI,restaurant,,해운대구,부산 해운대구 달맞이길 193 (중동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
17,busan-F-00288,busan-F-00288,거북선횟집,Geobukseon hoetjip,restaurant,,해운대구,부산 해운대구 달맞이길62번길 69 (중동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
18,busan-F-00289,busan-F-00289,고스락,Goseurak,restaurant,,기장군,부산 기장군 장안읍 해맞이로 286,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
19,busan-F-00290,busan-F-00290,규우정,Gyuujeong,restaurant,,해운대구,부산 해운대구 달맞이길 129 (중동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
20,busan-F-00292,busan-F-00292,뉼리,NEWLY,restaurant,,수영구,부산 수영구 민락수변로 7 (민락동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
21,busan-F-00297,busan-F-00297,칠성횟집,Chilseong hoetjip,restaurant,,수영구,부산 수영구 광안해변로 263 (민락동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
22,busan-F-00305,busan-F-00305,셔블,Sheobul,restaurant,,해운대구,부산 해운대구 동백로 67 (우동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
23,busan-F-00307,busan-F-00307,아오모리,AOMORI,restaurant,,해운대구,부산 해운대구 센텀3로 20 (우동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
24,busan-F-00309,busan-F-00309,차오란,CHAORAN,restaurant,,해운대구,부산 해운대구 달맞이길 30 (중동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
25,busan-F-00310,busan-F-00310,팔레드신,PALAIS DE CHINE,restaurant,,해운대구,부산 해운대구 해운대해변로 292 (중동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
26,busan-F-00315,busan-F-00315,구포촌국수,Gupochonguksu,restaurant,,금정구,부산 금정구 금샘로 490 (남산동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
27,busan-F-00317,busan-F-00317,금용,Geumyong,restaurant,,북구,부산 북구 구포만세길 75 (구포동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
28,busan-F-00318,busan-F-00318,기장곰장어,Gijang gomjangeo,restaurant,,기장군,부산 기장군 기장읍 기장해안로 70,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
29,busan-F-00326,busan-F-00326,새진주식당,Saejinju sikdang,restaurant,,중구,부산광역시 중구 흑교로 60 (보수동1가),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
30,busan-F-00328,busan-F-00328,송정3대국밥,Songjeong samdae gukbap,restaurant,,부산진구,부산 부산진구 서면로68번길 33 (부전동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
31,busan-F-00333,busan-F-00333,원조할매낙지,Wonjo halmaenakji,restaurant,,부산진구,부산 부산진구 골드테마길 10 (범천동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
32,busan-F-00336,busan-F-00336,할매재첩국,Halmae jaecheopguk,restaurant,,사상구,부산 사상구 낙동대로1530번길 20-15 (삼락동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
33,busan-F-00338,busan-F-00338,레망파티쓰리,lesmains patisserie,restaurant,,동래구,부산 동래구 온천천로471번가길 38 (안락동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
34,busan-F-00342,busan-F-00342,브레드365,bread365,restaurant,,남구,부산 남구 못골로41번길 13 (대연동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
35,busan-F-00344,busan-F-00344,옵스,Ops,restaurant,,수영구,부산 수영구 황령대로489번길 37 (남천동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
36,busan-F-00349,busan-F-00349,쥬가정효,Jyugajeonghyo,restaurant,,해운대구,부산 해운대구 해운대로 620 (우동) 해운대 라뮤에뜨 3층,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
37,busan-F-00350,busan-F-00350,톤쇼우,Ton shou,restaurant,,수영구,부산 수영구 광안해변로279번길 13 (민락동),False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
38,busan-K-00005,busan-K-00005,25의용단,,attraction,,수영구,부산광역시 수영구 연수로379번길 42,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
