번호,candidate_id,canonical_id,한국어명,영문명,category,subcategory,area,address,현재설명여부,최종상태,HOLD이유,source,source_url,후속해결방법
1,gyeongju-GJ01-0001,gyeongju-GJ01-0001,경주 계림,,attraction,,경주시내권,경상북도 경주시 교동 1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
2,gyeongju-GJ01-0002,gyeongju-GJ01-0002,경주 문화원,,attraction,,경주시내권,경상북도 경주시 중앙로 67-12,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
3,gyeongju-GJ01-0004,gyeongju-GJ01-0004,경주 월성,,attraction,,경주시내권,경상북도 경주시 인왕동 387-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
4,gyeongju-GJ01-0005,gyeongju-GJ01-0005,경주읍성,,attraction,,경주시내권,경상북도 경주시 동문로 31,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
5,gyeongju-GJ01-0006,gyeongju-GJ01-0006,경주최부자댁,,attraction,,경주시내권,경상북도 경주시 교촌안길 27-44,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
6,gyeongju-GJ01-0007,gyeongju-GJ01-0007,경주향교,,attraction,,경주시내권,경상북도 경주시 교동 17-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
7,gyeongju-GJ01-0008,gyeongju-GJ01-0008,교촌마을,,attraction,,경주시내권,경상북도 경주시 교촌길 39-2 (교동),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
8,gyeongju-GJ01-0009,gyeongju-GJ01-0009,국립경주박물관,,attraction,,경주시내권,"경상북도 경주시 일정로 186, 국립경주박물관 (인왕동)",False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,"gyeongju.go.kr/tour (travel-info title match, description unavailable)",https://www.gyeongju.go.kr/tour/page.do?mnu_uid=2689,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
9,gyeongju-GJ01-0010,gyeongju-GJ01-0010,금장대,,attraction,,경주시내권,경상북도 경주시 석장동 산 38-9,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
10,gyeongju-GJ01-0011,gyeongju-GJ01-0011,낭산,,attraction,,경주시내권,경상북도 경주시 보문동 214-2,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
